INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	STRING
INT	空手	长枪	大刀	双短	单短	杖类	环类	扇类	古琴	INT	INT	萧类	STRING
#本文件由潇湘解密QQ1400003003 													
0	空手站立01	长枪站立01	长枪站立01	双短站立01	单短站立01	杖站立01	双环站立01	扇子站立01	背琴站立	0	-1	桃花岛站立	站立
1	空手休闲	长枪休闲	长枪休闲	双短休闲	单短休闲	杖休闲	双环休闲	扇子休闲	背琴休闲	0	-1	桃花岛休闲	站立
2	空手站立01	长枪站立01	长枪站立01	双短站立01	单短站立01	杖站立01	双环站立01	扇子站立01	背琴站立	0	-1	桃花岛站立	站立
3										0	-1		行走
4	m01_跑步	m01_长枪跑步	m01_长枪跑步	m01_双短跑步	g01_单短跑步	杖跑步	m01_双环跑步	m01_扇子跑步	背琴跑	0	-1	桃花岛跑步	跑步
5	坐下1a	坐下1a	坐下1a	坐下1a	坐下1a	坐下1a	坐下1a	坐下1a	坐下1a	1	-1	坐下1a	坐下a
6	坐下1b	坐下1b	坐下1b	坐下1b	坐下1b	坐下1b	坐下1b	坐下1b	坐下1b	1	-1	坐下1b	坐下b
7	坐下1c	坐下1c	坐下1c	坐下1c	坐下1c	坐下1c	坐下1c	坐下1c	坐下1c	1	-1	坐下1c	坐下c
8	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	0	-1	m01_跑跃	跳跃
9	m01_跑跳a	m01_跑跳a	m01_跑跳a	m01_跑跳a	m01_跑跳a	m01_跑跳a	m01_跑跳a	m01_跑跳a	m01_跑跳a	0	-1	m01_跑跳a	跑跳a
10	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	0	-1	m01_跑跳b	跑跳b
11	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	0	-1	m01_跑跳b	跑跳b
12	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	0	-1	m01_跑跳b	跑跳b
13	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	0	-1	m01_跑跳b	跑跳b
14	空手警戒	长枪警戒	大刀警戒	双短警戒	单短警戒	杖警戒	双环警戒	扇子警戒	背琴警戒	0	-1	桃花岛警戒	站立
15										0	-1		行走
16	m01_跑步	m01_长枪跑步	m01_长枪跑步	m01_双短跑步	g01_单短跑步	杖跑步	m01_双环跑步	m01_扇子跑步	警戒跑	0	-1	背琴跑	跑步
17	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	0	-1	m01_跑跃	跳跃a
18	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	0	-1	m01_跑跃	跳跃b1
19	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	0	-1	m01_跑跃	跳跃c
20	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	0	-1	m01_跑跃	跳跃a
21	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	0	-1	m01_跑跃	跳跃b2
22	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	0	-1	m01_跑跃	跳跃c
