INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT
ID	RaceID	ModelFile	ShowName$1$	MaterialName	消耗物品ID	消耗物品数量	是否在初始时可选(0表示游戏中，初始时都不可选，1表示只有初始时可选，2表示只有在游戏中可选，3表示游戏中，初始时都可选)	头像的图标	消耗金钱
0	0	女主角头发01.mesh	流云发	女主角头发01	20307101	1	2	PeiFang_5	50000
1	0	女主角头发02.mesh	游仙发	女主角头发02	20307101	1	3	PeiFang_5	50000
2	0	女主角头发03.mesh	流思发	女主角头发03	20307101	1	2	PeiFang_5	50000
3	0	女主角头发04.mesh	景瑶发	女主角头发04	20307101	1	2	PeiFang_5	50000
4	0	女主角头发05.mesh	叠羽发	女主角头发05	20307101	1	2	PeiFang_5	50000
5	1	男主角头发01.mesh	流云发	男主角头发01	20307101	1	3	PeiFang_5	50000
6	1	男主角头发02.mesh	游仙发	男主角头发02	20307101	1	2	PeiFang_5	50000
7	1	男主角头发03.mesh	流思发	男主角头发03	20307101	1	2	PeiFang_5	50000
8	1	男主角头发04.mesh	景瑶发	男主角头发04	20307101	1	2	PeiFang_5	50000
9	1	男主角头发05.mesh	叠羽发	男主角头发05	20307101	1	2	PeiFang_5	50000
10	1	男主角头发06.mesh	长忆发	男主角头发06	20307101	1	2	PeiFang_5	50000
11	1	男主角头发07.mesh	寰海发	男主角头发07	20307101	1	2	PeiFang_5	50000
12	1	男主角头发08.mesh	鬓华发	男主角头发08	20307101	1	3	PeiFang_5	50000
13	1	男主角头发09.mesh	洛玄发	男主角头发09	20307101	1	2	PeiFang_5	50000
14	1	男主角头发14.mesh	宝锦发	男主角头发14	20307101	1	3	PeiFang_5	50000
15	0	女主角头发06.mesh	长忆发	女主角头发06	20307101	1	2	PeiFang_5	50000
16	0	女主角头发07.mesh	寰海发	女主角头发07	20307101	1	2	PeiFang_5	50000
17	0	女主角头发08.mesh	鬓华发	女主角头发08	20307101	1	3	PeiFang_5	50000
18	0	女主角头发09.mesh	洛玄发	女主角头发09	20307101	1	2	PeiFang_5	50000
19	0	女主角头发17.mesh	宝锦发	女主角头发17	20307101	1	3	PeiFang_5	50000
20	0	女主角头发10.mesh	妙风发	女主角头发10	20307101	1	2	PeiFang_5	50000
21	0	女主角头发11.mesh	辉月发	女主角头发11	20307101	1	2	PeiFang_5	50000
22	0	女主角头发12.mesh	天髻发	女主角头发12	20307101	1	2	PeiFang_5	50000
23	0	女主角头发13.mesh	凤髻发	女主角头发13	20307101	1	2	PeiFang_5	50000
24	0	女主角头发14.mesh	入云发	女主角头发14	20307101	1	2	PeiFang_5	50000
25	0	女主角头发15.mesh	云鬓发	女主角头发15	20307101	1	2	PeiFang_5	50000
26	0	女主角头发16.mesh	追思发	女主角头发16	20307101	1	2	PeiFang_5	50000
27	0	女主角头发18.mesh	行云发	女主角头发18	20307101	1	2	PeiFang_5	50000
28	0	女主角头发19.mesh	蝉翼发	女主角头发19	20307101	1	2	PeiFang_5	50000
29	0	女主角头发20.mesh	飞燕发	女主角头发20	20307101	1	2	PeiFang_5	50000
30	1	男主角头发10.mesh	妙风发	男主角头发10	20307101	1	2	PeiFang_5	50000
31	1	男主角头发11.mesh	辉月发	男主角头发11	20307101	1	2	PeiFang_5	50000
32	1	男主角头发12.mesh	天髻发	男主角头发12	20307101	1	2	PeiFang_5	50000
33	1	男主角头发13.mesh	凤髻发	男主角头发13	20307101	1	2	PeiFang_5	50000
34	1	男主角头发15.mesh	入云发	男主角头发15	20307101	1	2	PeiFang_5	50000
35	1	男主角头发16.mesh	云鬓发	男主角头发16	20307101	1	2	PeiFang_5	50000
36	1	男主角头发17.mesh	追思发	男主角头发17	20307101	1	2	PeiFang_5	50000
