INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	STRING	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0	男主角.obj	1	2	1	0.15	182	183	184	男主角.txt	男主角_虎.txt	男主角_马.txt	男主角_狼.txt	男主角_雕.txt	男主角_鹿.txt	男主角_鹤.txt	男主角_凤.txt	男主角_骆驼.txt	男主角_牦牛.txt	男主角_白虎.txt	男主角_青白骢马.txt	男主角_白狼.txt	男主角_白雕.txt	男主角_白鹿.txt	男主角_金翼鹤.txt	男主角_红白凤.txt	男主角_白骆驼.txt	男主角_白牦牛.txt	男主角_狮子.txt	男主角_白狮.txt	飞剑.txt	并蒂莲.txt	男主角_走白雕.txt	男主角_犀牛.txt	男主角_陆吾.txt	男主角_熊.txt	男主角_玄龟.txt	男主角_马车.txt	男主角_天使翅膀.txt	羽毛.txt	男主角_轿子.txt	男主角_交通工具_鹰.txt	1987.txt	1988.txt	雁门关坐姿.txt	七夕月宫鹊桥站立.txt	男船头打伞站立.txt
1	女主角.obj	1	2	1	0.15	185	186	187	女主角.txt	女主角_虎.txt	女主角_马.txt	女主角_狼.txt	女主角_雕.txt	女主角_鹿.txt	女主角_鹤.txt	女主角_凤.txt	女主角_骆驼.txt	女主角_牦牛.txt	女主角_白虎.txt	女主角_青白骢马.txt	女主角_白狼.txt	女主角_白雕.txt	女主角_白鹿.txt	女主角_金翼鹤.txt	女主角_红白凤.txt	女主角_白骆驼.txt	女主角_白牦牛.txt	女主角_狮子.txt	女主角_白狮.txt	飞剑.txt	并蒂莲.txt	女主角_走白雕.txt	女主角_犀牛.txt	女主角_陆吾.txt	女主角_熊.txt	女主角_玄龟.txt	女主角_马车.txt	女主角_天使翅膀.txt	羽毛.txt	女主角_轿子.txt	女主角_交通工具_鹰.txt	1989.txt	1990.txt	雁门关坐姿.txt	七夕月宫鹊桥站立.txt	女船头打伞站立.txt
2	巴天石.obj	1	2	1	0.15	182	183	184	巴天石.txt																																					
3	白堤柳鬼.obj	1	2	1	0.15	182	183	184	白堤柳鬼.txt																																					
5	毕昇.obj	1	2	1	0.15	182	183	184	毕昇.txt																																					
7	蔡京.obj	1	2	1	0.15	182	183	184	蔡京.txt																																					
8	残破兵俑.obj	1	2	1	0.15	182	183	184	残破兵俑.txt																																					
9	单正.obj	1	2	1	0.15	182	183	184	单正.txt																																					
10	稻草人.obj	1	2	1	0.15	182	183	184	稻草人.txt																																					
11	丁春秋.obj	1	2	1	0.15	182	183	184	丁春秋.txt																																					
12	段誉.obj	1	2	1	0.15	182	183	184	段誉.txt																																					
13	断桥花妖.obj	1	2	1	0.15	182	183	184	断桥花妖.txt																																					
15	方百花.obj	1	2	1	0.15	182	183	184	方百花.txt																																					
16	鬼面人.obj	1	2	1	0.15	182	183	184	鬼面人.txt																																					
17	韩印雪.obj	1	2	1	0.15	182	183	184	韩印雪.txt																																					
19	黑蜂.obj	1	2	1	0.15	182	183	184	黑蜂.txt																																					
20	金左焕.obj	1	2	1	0.15	182	183	184	金左焕.txt																																					
21	酒徒.obj	1	2	1	0.15	182	183	184	酒徒.txt																																					
22	郎中.obj	1	2	1	0.15	182	183	184	郎中.txt																																					
25	李师师.obj	1	2	1	0.15	182	183	184	李师师.txt																																					
26	李十二娘.obj	1	2	1	0.15	182	183	184	李十二娘.txt																																					
27	辽兵.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
32	米芾.obj	1	2	1	0.15	182	183	184	米芾.txt																																					
33	白苗卫兵.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
34	木人.obj	1	2	1	0.15	182	183	184	木人.txt																																					
35	欧阳修.obj	1	2	1	0.15	182	183	184	欧阳修.txt																																					
37	秦红棉.obj	1	2	1	0.15	182	183	184	秦红棉.txt																																					
38	秦家寨探子.obj	1	2	1	0.15	182	183	184	秦家寨兵.txt																																					
39	山鬼.obj	1	2	1	0.15	182	183	184	山鬼.txt																																					
40	山蛛.obj	1	2	1	0.15	182	183	184	山蛛.txt																																					
42	石人.obj	1	2	1	0.15	182	183	184	石人.txt																																					
44	书生.obj	1	2	1	0.15	182	183	184	书生.txt																																					
45	蜀道黑猿.obj	1	2	1	0.15	182	183	184	蜀道黑猿.txt																																					
50	宋兵.obj	1	2	1	0.15	182	183	184	宋兵.txt																																					
51	宋将士.obj	1	2	1	0.15	182	183	184	宋将士.txt																																					
52	苏辙.obj	1	2	1	0.15	182	183	184	苏辙.txt																																					
53	藤甲贼.obj	1	2	1	0.15	182	183	184	藤甲贼.txt																																					
54	藤员佐为.obj	1	2	1	0.15	182	183	184	藤员佐为.txt																																					
56	吴长风.obj	1	2	1	0.15	182	183	184	吴长风.txt																																					
57	钟汉良萧峰.obj	1	2	1	0.15	182	183	184	萧峰.txt																																					
58	萧奉先.obj	1	2	1	0.15	182	183	184	萧奉先.txt																																					
59	萧远山.obj	1	2	1	0.15	182	183	184	萧远山.txt																																					
60	邪剑仙.obj	1	2	1	0.15	182	183	184	邪剑仙.txt																																					
61	熊.obj	1	2	1	0.15	182	183	184	熊.txt																																					
63	薛慕华.obj	1	2	1	0.15	182	183	184	薛慕华.txt																																					
64	雪人.obj	1	2	1	0.15	182	183	184	雪人.txt																																					
65	丫鬟.obj	1	2	1	0.15	182	183	184	丫鬟.txt																																					
67	杨文广.obj	1	2	1	0.15	182	183	184	杨文广.txt																																					
68	药篓.obj	1	2	1	0.15	182	183	184	药篓.txt																																					
70	叶二娘.obj	1	2	1	0.15	182	183	184	叶二娘.txt																																					
71	银川公主.obj	1	2	1	0.15	182	183	184	银川公主.txt																																					
72	游坦之.obj	1	2	1	0.15	182	183	184	游坦之.txt																																					
73	云中鹤.obj	1	2	1	0.15	182	183	184	云中鹤.txt																																					
74	摘星子.obj	1	2	1	0.15	182	183	184	摘星子.txt																																					
