INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	INT
ID	Ãû³Æ	×¼³ËÈËÊı	ModelID	AddHeight	RideRecipe	Ö÷×ø¶¯×÷×éË÷Òı	Ö÷°ó¶¨µã	¸±×ø¶¯×÷×éË÷Òı	¸±°ó¶¨µã	×øÆïµÄÒÆ¶¯ÉùÒôID	ÊÇ·ñÄÜÌøÔ¾
0	»¢	1	1010	0.5	447	0	attach1	0	attach2	188	1
1	»ÆæôÂí	1	1011	0.6	448	1	attach1	1	attach2	191	1
2	»ÒÀÇ	1	1012	0.5	455	2	attach1	2	attach1	184	-1
3	µñ	1	1007	0.5	454	3	attach1	3	attach2	405	1
4	Â¹	1	1014	0.6	453	4	attach1	4	attach2	207	1
5	º×	1	1008	0.9	450	5	attach1	5	attach2	404	1
6	Çà·ï	1	1018	0.5	451	6	attach1	6	attach1	405	-1
7	ÂæÍÕ	1	1015	0.6	449	7	attach1	7	attach2	203	-1
8	êóÅ£	1	1016	0.6	452	8	attach1	8	attach2	194	1
9	°×»¢	1	1002	0.5	456	9	attach1	9	attach2	188	-1
10	Çà°×æõÂí	1	1017	0.6	457	10	attach1	10	attach2	191	-1
11	°×ÀÇ	1	1003	0.5	464	11	attach1	11	attach2	200	-1
12	°×µñ	1	1001	0.5	463	12	attach1	12	attach2	405	-1
13	°×Â¹	1	1004	0.6	462	13	attach1	13	attach2	206	-1
14	½ğÒíº×	1	1013	0.9	459	14	attach1	14	attach2	404	-1
15	ºì°×·ï	1	1009	0.5	460	15	attach1	15	attach2	405	-1
16	°×ÂæÍÕ	1	1005	0.6	458	16	attach1	16	attach2	2039	1
17	°×êóÅ£	1	1006	0.6	461	17	attach1	17	attach2	194	-1
18	Ê¨×Ó	1	1019	0.6	561	18	attach1	18	attach2	188	-1
19	°×Ê¨	1	1020	0.6	562	19	attach1	19	attach2	188	1
20		1	-1	0.6	20	20	attach1	20	attach1	-1	-1
21	×ßµñ	1	1025	0.5	446	22	attach1	22	attach1	197	-1
22	×ß°×µñ	1	1026	0.5	445	22	attach1	22	attach1	197	1
23	Ïó	1	1027	0.7	443	23	attach1	23	attach1	462	1
24	°×Ïó	1	1028	0.7	444	23	attach1	23	attach1	462	1
25	Ë«ÈËµñ	1	1021	1.3	-1	23	attach1	23	attach1	182	1
26	Æï³ËÂ½Îá	1	1029	0.6	440	24	attach1	24	attach1	203	1
27	Æï³ËÄ¾Å£Á÷Âí	1	1030	0.6	439	25	attach1	25	attach1	459	1
28	Æï³ËÍÒÄñ	1	1031	0.6	436	23	attach1	23	attach1	470	1
29	Æï³ËÏ¬Å£	1	1032	0.7	442	23	attach1	23	attach1	203	-1
30	Æï³ËĞÜ	1	1033	0.6	438	25	attach1	25	attach1	194	-1
31	Æï³ËĞş¹ê	1	1034	0.5	441	26	attach1	26	attach1	194	1
32	Æï³ËÖ©Öë	1	1035	0.6	437	26	attach1	26	attach1	464	-1
33	Æï³ËºÓÂí	1	1036	0.7	430	23	attach1	23	attach1	462	1
34	Æï³ËÂí³µ	1	1037	0.7	431	27	attach1	27	attach1	477	1
35	Æï³ËÌìÂí	1	1038	0.7	432	25	attach1	25	attach1	480	-1
36	Æï³ËÍÃ×Ó	1	1039	0.7	433	26	attach1	26	attach1	483	1
37	Æï³ËÎèÊ¨	1	1040	0.7	434	23	attach1	23	attach1	489	-1
38	Æï³ËÑ±Â¹	1	1041	0.7	435	25	attach1	25	attach1	486	-1
39	ÌìÊ¹³á°ò	1	1042	0.7	429	28	attach1	28	attach1	404	-1
40	Æï³Ë¾ŞÈË	1	1043	0.7	427	26	attach1	26	attach1	462	-1
41	Æï³Ë´óÂÌÁú	1	1044	0.7	428	25	attach1	25	attach1	495	1
