INT	INT	STRING	STRING	INT	INT	INT	STRING
ID	类型(策划分类用)	名称$1$	描述$1$	逻辑类型(程序用)	等级	时间	注释
0	1	系统占用	设置等级称号为0，即清除等级称号	1	1	-1	设置等级称号为0，即清除等级称号
1	1	已废弃	已废弃	0	0	-1	
2	1	已废弃	已废弃	0	0	-1	
3	1	已废弃	已废弃	0	0	-1	
4	1	已废弃	已废弃	0	0	-1	
5	1	已废弃	已废弃	0	0	-1	
6	1	已废弃	已废弃	0	0	-1	
7	1	已废弃	已废弃	0	0	-1	
8	1	已废弃	已废弃	0	0	-1	
9	1	已废弃	已废弃	0	0	-1	
10	1	已废弃	已废弃	0	0	-1	
11	1	已废弃	已废弃	0	0	-1	
12	1	已废弃	已废弃	0	0	-1	
13	1	已废弃	已废弃	0	0	-1	
14	1	已废弃	已废弃	0	0	-1	
15	1	已废弃	已废弃	0	0	-1	
16	1	已废弃	已废弃	0	0	-1	
17	1	已废弃	已废弃	0	0	-1	
18	1	已废弃	已废弃	0	0	-1	
19	1	已废弃	已废弃	0	0	-1	
20	1	已废弃	已废弃	0	0	-1	
21	1	已废弃	已废弃	0	0	-1	
22	1	已废弃	已废弃	0	0	-1	
23	1	已废弃	已废弃	0	0	-1	
24	1	已废弃	已废弃	0	0	-1	
25	1	已废弃	已废弃	0	0	-1	
26	1	已废弃	已废弃	0	0	-1	
27	1	已废弃	已废弃	0	0	-1	
28	1	已废弃	已废弃	0	0	-1	
29	1	已废弃	已废弃	0	0	-1	
30	1	已废弃	已废弃	0	0	-1	
31	1	已废弃	已废弃	0	0	-1	
32	1	已废弃	已废弃	0	0	-1	
33	1	已废弃	已废弃	0	0	-1	
34	1	已废弃	已废弃	0	0	-1	
35	1	已废弃	已废弃	0	0	-1	
36	1	已废弃	已废弃	0	0	-1	
37	1	已废弃	已废弃	0	0	-1	
38	1	已废弃	已废弃	0	0	-1	
39	1	已废弃	已废弃	0	0	-1	
40	1	已废弃	已废弃	0	0	-1	
41	1	已废弃	已废弃	0	0	-1	
42	1	已废弃	已废弃	0	0	-1	
43	1	已废弃	已废弃	0	0	-1	
44	1	已废弃	已废弃	0	0	-1	
45	1	已废弃	已废弃	0	0	-1	
46	1	已废弃	已废弃	0	0	-1	
