INT	INT	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
titleindex	INT	名称	描述	logictype	level	INT	描述	启用（0不启用1启用）	STRING	是否动图	颜色ID	图标版	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	2	$N的夫君	在天愿做比翼鸟，在地愿做连理枝。	22	1	-1	夫妻	1	与命定之人结婚后获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	2	$N的娘子	在天愿做比翼鸟，在地愿做连理枝。	22	1	-1	夫妻	1	与命定之人结婚后获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	8	漕运商	初级漕运商人，漕运伊始，继续努力。	6	1	-1	漕运	1	漕运1次获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	8	漕运走卒	二级漕运商人，漕运熟手，继续努力。	6	2	-1	漕运	1	漕运100次获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	8	漕运押解官	三级漕运商人，漕运能手，再接再厉。	6	3	-1	漕运	1	漕运1000次获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	8	漕运统领	四级漕运商人，漕运高手，再接再厉。	6	4	-1	漕运	1	漕运3000次获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	8	漕运调度副使	五级漕运商人，漕运名人，再接再厉。	6	5	-1	漕运	1	漕运7500次获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	8	漕运调度使	六级漕运商人，漕运权威，业界典范。	6	6	-1	漕运	1	漕运20000次获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	8	漕运总提调	七级漕运商人，漕运神话，不朽传奇。	6	7	-1	漕运	1	漕运50000次获得的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
