INT	INT	INT	INT	INT	INT	INT
ID	帮派资金	任务数	消耗属性类型	消耗属性值	需求建筑类型	需求级别
1	10000	1	5	0	1	1
2	800000	1	3	60	-1	-1
3	1600000	1	3	120	-1	-1
4	3200000	1	3	240	-1	-1
5	6400000	1	3	480	-1	-1
6	400000	1	5	40	3	2
7	800000	1	5	80	-1	-1
8	1600000	1	5	160	-1	-1
9	10000	1	5	0	1	1
10	1000000	1	5	50	-1	-1
11	2000000	1	5	100	-1	-1
12	4000000	1	5	200	-1	-1
13	8000000	1	5	400	-1	-1
14	800000	1	5	60	-1	-1
15	1600000	1	5	120	-1	-1
16	3200000	1	5	240	-1	-1
17	6400000	1	5	480	-1	-1
18	800000	1	1	60	-1	-1
19	1600000	1	1	120	-1	-1
20	3200000	1	1	240	-1	-1
21	6400000	1	1	480	-1	-1
22	800000	1	4	60	-1	-1
23	1600000	1	4	120	-1	-1
24	3200000	1	4	240	-1	-1
25	6400000	1	4	480	-1	-1
26	400000	1	2	40	9	2
27	800000	1	2	80	-1	-1
28	1600000	1	2	160	-1	-1
29	3200000	1	2	320	-1	-1
30	800000	1	2	60	-1	-1
31	1600000	1	2	120	-1	-1
32	3200000	1	2	240	-1	-1
33	6400000	1	2	480	-1	-1
34	400000	1	5	40	1	2
35	800000	1	5	80	-1	-1
36	1600000	1	5	160	-1	-1
37	3200000	1	5	320	-1	-1
38	600000	1	5	50	-1	-1
39	1200000	1	5	100	-1	-1
40	2400000	1	5	200	-1	-1
41	4800000	1	5	400	-1	-1
42	400000	1	0	40	5	2
43	800000	1	0	80	-1	-1
44	1600000	1	0	160	-1	-1
45	3200000	1	0	320	-1	-1
46	800000	1	0	60	-1	-1
47	1600000	1	0	120	-1	-1
48	3200000	1	0	240	-1	-1
49	6400000	1	0	480	-1	-1
50	200000	1	2	20	-1	-1
51	400000	1	2	40	-1	-1
52	800000	1	2	80	-1	-1
53	200000	1	2	20	-1	-1
54	500000	1	5	25	-1	-1
55	300000	1	5	25	-1	-1
56	100000	1	0	30	5	1
57	200000	1	0	60	5	2
58	400000	1	0	120	5	3
59	800000	1	0	240	5	4
60	1600000	1	0	480	5	5
61	100000	1	3	30	11	1
62	200000	1	3	60	11	2
63	400000	1	3	120	11	3
64	800000	1	3	240	11	4
65	1600000	1	3	480	11	5
66	100000	1	2	30	10	1
67	400000	1	2	120	10	2
68	1600000	1	2	480	10	3
69	100000	1	5	30	2	1
70	400000	1	5	120	2	2
71	1600000	1	5	480	2	3
72	2000000	1	5	100	-1	-1
73	4000000	1	5	200	-1	-1
74	8000000	1	5	400	-1	-1
75	16000000	1	5	800	-1	-1
76	100000	1	2	30	3	2
77	200000	1	2	60	3	3
78	400000	1	2	120	3	4
79	800000	1	2	240	3	5
