int	string	float	float	float	float	
int	string	float	float	float	float	
0	虎	1.200000	14.000000	1.200000	14.000000	
1	黄骠马	1.200000	12.000000	1.200000	12.000000	
2	灰狼	1.000000	13.000000	1.000000	13.000000	
3	雕	2.900000	16.000000	2.900000	16.000000	
4	鹿	1.200000	12.000000	1.200000	12.000000	
5	鹤	2.300000	19.000000	2.300000	19.000000	
6	青凤	2.800000	20.000000	2.800000	20.000000	
7	骆驼	1.300000	13.000000	1.300000	13.000000	
8	牦牛	1.200000	12.000000	1.200000	12.000000	
9	白虎	1.200000	14.000000	1.200000	14.000000	
10	青白骢马	1.200000	12.000000	1.200000	12.000000	
11	白狼	1.000000	13.000000	1.000000	13.000000	
12	白雕	2.900000	16.000000	2.900000	16.000000	
13	白鹿	1.200000	12.000000	1.200000	12.000000	
14	金翼鹤	2.300000	19.000000	2.300000	19.000000	
15	红白凤	2.800000	20.000000	2.800000	20.000000	
16	白骆驼	1.400000	13.000000	1.400000	13.000000	
17	白牦牛	1.200000	12.000000	1.200000	12.000000	
18	狮子	1.000000	13.000000	1.000000	13.000000	
19	白狮	1.000000	13.000000	1.000000	13.000000	
21	陆行雕	1.400000	12.000000	1.400000	12.000000	
24	大象	1.300000	13.000000	1.300000	13.000000	
26	陆吾	1.000000	14.000000	1.000000	14.000000	
27	木牛流马	1.200000	12.000000	1.200000	12.000000	
28	鸵鸟	1.400000	12.000000	1.400000	12.000000	
29	犀牛	1.200000	13.000000	1.200000	13.000000	
30	熊	1.200000	12.000000	1.200000	12.000000	
31	玄龟	1.200000	12.000000	1.200000	12.000000	
32	符文骑士	1.400000	18.000000	1.400000	18.000000	
33	河马	1.200000	12.000000	1.200000	12.000000	
34	马车	1.200000	18.000000	1.200000	18.000000	
35	天马	1.300000	13.000000	1.300000	13.000000	
36	兔子	1.600000	15.000000	1.600000	15.000000	
37	舞狮	1.100000	11.000000	1.100000	11.000000	
38	驯鹿	1.600000	13.000000	1.600000	13.000000	
39	翅膀：雪羽	2.200000	13.000000	2.200000	13.000000	
40	巨人：黄巾力士	2.000000	18.000000	2.000000	18.000000	
41	飞龙：大风	4.300000	35.000000	4.300000	35.000000	
42	雪橇	1.400000	22.000000	1.400000	22.000000	
43	紫电	2.000000	17.000000	2.000000	17.000000	
44	翅膀：冥羽	2.200000	13.000000	2.200000	13.000000	
45	如意熊	1.200000	12.000000	1.200000	12.000000	
46	碧水金睛兽	2.000000	22.000000	2.000000	22.000000	
47	旋转木马	2.000000	17.000000	2.200000	24.000000	
48	年兽	1.200000	14.000000	1.200000	14.000000	
49	花车	1.700000	15.000000	1.700000	18.000000	
50	白云	1.000000	15.000000	1.000000	15.000000	
51	黑土	1.000000	15.000000	1.000000	15.000000	
52	巨猿	2.000000	20.000000	2.000000	20.000000	
53	鹜影雕	3.300000	19.000000	3.300000	19.000000	
54	琉璃凤	3.400000	21.000000	3.400000	21.000000	
55	瑞莲鹤	2.700000	21.000000	2.700000	21.000000	
56	如意虎	1.200000	16.000000	1.200000	16.000000	
57	银月狼	1.000000	15.000000	1.000000	15.000000	
58	七彩鹿	1.900000	17.000000	1.900000	17.000000	
59	龙血马	2.000000	17.000000	2.000000	17.000000	
60	青牦牛	1.300000	15.000000	1.300000	15.000000	
61	烈焰狮	1.200000	16.000000	1.200000	16.000000	
62	翅膀：幻羽	2.200000	13.000000	2.200000	13.000000	
63	闪电貂	1.500000	13.000000	1.500000	13.000000	
64	蝶羽	2.200000	13.000000	2.200000	13.000000	
65	巴天虎	1.300000	15.000000	1.300000	15.000000	
66	羚羊	1.400000	14.000000	1.400000	14.000000	
67	雪羚羊	1.400000	14.000000	1.400000	14.000000	
68	幽光羚	1.400000	16.000000	1.400000	16.000000	
69	飞龙椅	2.000000	18.000000	2.000000	18.000000	
70	火焰貂	1.500000	13.000000	1.500000	13.000000	
71	熊猫	1.200000	13.000000	1.200000	13.000000	
72	雷刃兽	1.200000	12.000000	1.200000	12.000000	
73	赤魅鹰	3.300000	22.000000	3.300000	22.000000	
74	暗魅鹰	3.300000	22.000000	3.300000	22.000000	
75	紫魅鹰	3.300000	22.000000	3.300000	20.000000	
76	青麟白泽	2.000000	18.000000	2.000000	18.000000	
77	赤麟白泽	2.000000	18.000000	2.000000	18.000000	
78	憨宝熊	1.400000	12.000000	1.400000	12.000000	
79	黑天马	1.600000	13.000000	1.600000	13.000000	
80	云霄羽翼	2.700000	18.000000	2.700000	18.000000	
81	梦灵仙驹	1.800000	16.000000	1.800000	16.000000	
82	江南锁甲马	2.000000	20.000000	2.000000	20.000000	
83	大漠金戈马	2.000000	20.000000	2.000000	20.000000	
84	绝地	1.700000	14.000000	1.700000	14.000000	
85	蹑景	2.000000	16.000000	2.000000	16.000000	
86	六合舆	1.900000	22.000000	1.900000	22.000000	
87	渡情	2.200000	22.000000	2.200000	22.000000	
88	红熊王	1.500000	14.000000	1.500000	14.000000	
89	金麟舞狮	1.200000	11.000000	1.200000	11.000000	
90	寄居蟹	2.000000	17.000000	2.000000	17.000000	
91	垂云翼	2.500000	18.000000	2.500000	18.000000	
92	圣诞驯鹿	2.100000	17.000000	2.100000	17.000000	
