int	int	int	int	string	string	int	int	int	int	int	int	int
int	int	int	int	string	string	int	int	int	int	int	int	int
1	0	1	11	³àĞÜ	PetSoulEquip1_4	50000	39995376	40	1	3604	3604	3604
2	0	1	12	°×¾Ô	PetSoulEquip1_2	50000	39995377	40	1	3604	3604	3604
3	0	1	13	Áé²õ	PetSoulEquip1_10	50000	39995378	40	1	3604	3604	3604
4	0	1	14	²ÔÀÇ	PetSoulEquip1_3	50000	39995379	40	1	3604	3604	3604
5	0	1	15	·ÉÁç	PetSoulEquip1_5	50000	39995380	40	1	3604	3604	3604
6	2	1	1	ÇàÁú	PetSoulEquip1_12	50000	39995366	40	0	3602	3603	3587
7	2	1	2	ĞşÎä	PetSoulEquip1_14	50000	39995367	40	0	3594	3595	3596
8	2	1	3	°×»¢	PetSoulEquip1_1	50000	39995368	40	0	3580	3581	3575
9	2	1	4	ÖìÈ¸	PetSoulEquip1_15	50000	39995369	40	0	3577	3578	3579
10	2	1	5	¾ÅÎ²	PetSoulEquip1_9	50000	39995370	40	0	3588	3589	3590
11	1	1	6	½õÁÛ	PetSoulEquip1_8	50000	39995371	40	0	3597	3598	3576
12	1	1	7	»Ãµû	PetSoulEquip1_6	50000	39995372	40	0	3582	3583	3574
13	1	1	8	Ëªº×	PetSoulEquip1_13	50000	39995373	40	0	3591	3592	3593
14	1	1	9	½ğÎÚ	PetSoulEquip1_7	50000	39995374	40	0	3584	3585	3586
15	1	1	10	Â¹Êñ	PetSoulEquip1_11	50000	39995375	40	0	3599	3600	3601
