int	int	int	int	int	int	int	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int
int	int	坐骑等级	坐骑对应的BUFF	int	装备ID	int	坐骑名称	坐骑图片	坐骑特殊说明	坐骑模型ID对应CHarmode	移动速度	是否贵重坐骑	int	int	int	int	int	int	int	int	int	int	int
1	1	20	5000	1	10141000	-1	陆行雕	RideHeader1_9	#G	21	80	0	0	43101	43198	43295	-1	43392	43489	43586	43683	-1	-1
2	1	40	5001	1	10141001	0	虎	RideHeader1_13	#r#G仅少林门派可召唤。	0	80	0	0	43102	43199	43296	-1	43393	43490	43587	43684	-1	-1
3	1	40	5002	1	10141002	6	黄骠马	RideHeader1_1	#r#G仅天龙门派可召唤。	1	80	0	0	43103	43200	43297	-1	43394	43491	43588	43685	-1	-1
4	1	40	5003	1	10141003	-1	骆驼	RideHeader1_11	#G	7	80	0	0	43104	43201	43298	-1	43395	43492	43589	43686	-1	-1
5	1	40	5004	1	10141004	3	鹤	RideHeader2_2	#r#G仅武当门派可召唤。	5	80	0	0	43105	43202	43299	-1	43396	43493	43590	43687	-1	-1
6	1	40	5005	1	10141005	4	青凤	RideHeader1_16	#r#G仅峨嵋门派可召唤。	6	80	0	0	43106	43203	43300	-1	43397	43494	43591	43688	-1	-1
7	1	40	5006	1	10141006	5	牦牛	RideHeader1_3	#r#G仅星宿门派可召唤。	8	80	0	0	43107	43204	43301	-1	43398	43495	43592	43689	-1	-1
8	1	40	5007	1	10141007	8	鹿	RideHeader1_5	#r#G仅逍遥门派可召唤。	4	80	0	0	43108	43205	43302	-1	43399	43496	43593	43690	-1	-1
9	1	40	5008	1	10141008	7	雕	RideHeader1_9	#r#G仅天山门派可召唤。	3	80	0	0	43109	43206	43303	-1	43400	43497	43594	43691	-1	-1
10	1	40	5009	1	10141009	2	灰狼	RideHeader1_7	#r#G仅丐帮门派可召唤。	2	80	0	0	43110	43207	43304	-1	43401	43498	43595	43692	-1	-1
11	1	60	5010	1	10141010	0	白虎	RideHeader1_14	#r#G仅少林门派可召唤。	9	80	0	0	43111	43208	43305	-1	43402	43499	43596	43693	-1	-1
12	1	60	5011	1	10141011	6	青白骢马	RideHeader1_2	#r#G仅天龙门派可召唤。	10	80	0	0	43112	43209	43306	-1	43403	43500	43597	43694	-1	-1
13	1	60	5012	1	10141012	-1	白骆驼	RideHeader1_12	#G	16	80	0	0	43113	43210	43307	-1	43404	43501	43598	43695	-1	-1
14	1	60	5013	1	10141013	3	金翼鹤	RideHeader2_1	#r#G仅武当门派可召唤。	14	80	0	0	43114	43211	43308	-1	43405	43502	43599	43696	-1	-1
15	1	60	5014	1	10141014	4	红白凤	RideHeader1_15	#r#G仅峨嵋门派可召唤。	15	80	0	0	43115	43212	43309	-1	43406	43503	43600	43697	-1	-1
16	1	60	5015	1	10141015	5	白牦牛	RideHeader1_4	#r#G仅星宿门派可召唤。	17	80	0	0	43116	43213	43310	-1	43407	43504	43601	43698	-1	-1
17	1	60	5016	1	10141016	8	白鹿	RideHeader1_6	#r#G仅逍遥门派可召唤。	13	80	0	0	43117	43214	43311	-1	43408	43505	43602	43699	-1	-1
18	1	60	5017	1	10141017	7	白雕	RideHeader1_10	#r#G仅天山门派可召唤。	12	80	0	0	43118	43215	43312	-1	43409	43506	43603	43700	-1	-1
19	1	60	5018	1	10141018	2	白狼	RideHeader1_8	#r#G仅丐帮门派可召唤。	11	80	0	0	43119	43216	43313	-1	43410	43507	43604	43701	-1	-1
20	1	40	5019	1	10141019	1	狮子	RideHeader2_3	#r#G仅明教门派可召唤。	18	80	0	0	43120	43217	43314	-1	43411	43508	43605	43702	-1	-1
21	1	60	5020	1	10141020	1	白狮	RideHeader2_4	#r#G仅明教门派可召唤。	19	80	0	0	43121	43218	43315	-1	43412	43509	43606	43703	-1	-1
22	2	10	5021	1	10141021	-1	大象	RideHeader2_5	#r#G召唤后可邀请同伴一同乘骑。	24	80	0	0	43122	43219	43316	-1	43413	43510	43607	43704	-1	-1
23	2	10	5022	1	10141022	-1	犀牛	RideHeader2_15	#r#G召唤后可邀请同伴一同乘骑。	29	80	0	0	43123	43220	43317	-1	43414	43511	43608	43705	-1	-1
24	2	10	5023	1	10141023	-1	玄龟	RideHeader2_12	#r#G召唤后可邀请同伴一同乘骑。	31	80	0	0	43124	43221	43318	-1	43415	43512	43609	43706	-1	-1
25	1	10	5024	1	10141024	-1	陆吾	RideHeader2_10	#G	26	80	0	0	43125	43222	43319	-1	43416	43513	43610	43707	-1	-1
26	1	10	5025	1	10141025	-1	木牛流马	RideHeader2_13	#G	27	80	0	0	43126	43223	43320	-1	43417	43514	43611	43708	-1	-1
27	1	10	5026	1	10141026	-1	熊	RideHeader2_9	#G	30	80	0	0	43127	43224	43321	-1	43418	43515	43612	43709	-1	-1
28	1	10	5027	1	10141027	-1	符文骑士	RideHeader2_14	#G	32	80	0	0	43128	43225	43322	-1	43419	43516	43613	43710	-1	-1
29	1	10	5028	1	10141028	-1	鸵鸟	RideHeader2_11	#G	28	80	0	0	43129	43226	43323	-1	43420	43517	43614	43711	-1	-1
30	2	10	5029	1	10141029	-1	河马	Ride2_15	#G	33	80	0	0	43130	43227	43324	-1	43421	43518	43615	43712	-1	-1
31	1	10	5030	1	10141030	-1	马车	Ride2_11	#G	34	80	0	0	43131	43228	43325	-1	43422	43519	43616	43713	-1	-1
32	1	10	5031	1	10141031	-1	天马	Ride2_13	#G	35	80	1	0	43132	43229	43326	-1	43423	43520	43617	43714	-1	-1
33	1	10	5032	1	10141032	-1	兔子	Ride2_9	#G	36	80	0	0	43133	43230	43327	-1	43424	43521	43618	43715	-1	-1
34	1	10	5033	1	10141033	-1	舞狮	Ride2_14	#G	37	80	0	0	43134	43231	43328	-1	43425	43522	43619	43716	-1	-1
35	1	10	5034	1	10141034	-1	驯鹿	Ride2_10	#G	38	80	0	0	43135	43232	43329	-1	43426	43523	43620	43717	-1	-1
36	1	10	5035	1	10141035	-1	雪羽	Ride2_12	#G	39	80	0	0	43143	43240	43337	-1	43434	43531	43628	43725	-1	-1
37	2	10	5036	1	10141036	-1	大风	RideHeader2_7	#r#G召唤后可邀请同伴一同乘骑。	41	80	0	0	43144	43241	43338	-1	43435	43532	43629	43726	-1	-1
38	1	10	5037	1	10141037	-1	黄巾力士	RideHeader2_16	#G	40	80	0	0	43145	43242	43339	-1	43436	43533	43630	43727	-1	-1
39	2	10	5038	1	10141038	-1	雪橇	Ride2_3	#r#G召唤后可邀请同伴一同乘骑。	42	80	1	0	43146	43243	43340	-1	43437	43534	43631	43728	-1	-1
40	2	10	5039	1	10141039	-1	紫电	Ride2_4	#r#G召唤后可邀请同伴一同乘骑。	43	80	1	0	43147	43244	43341	-1	43438	43535	43632	43729	-1	-1
41	1	10	5040	1	10141040	-1	冥羽	Ride2_16	#G	44	80	0	0	43148	43245	43342	-1	43439	43536	43633	43730	-1	-1
42	1	10	5041	1	10141041	-1	如意熊	RideHeader2_8	#G	45	80	0	0	43149	43246	43343	-1	43440	43537	43634	43731	-1	-1
43	1	10	5042	1	10141042	-1	碧水金睛兽	Ride2_5	#G	46	80	0	0	43150	43247	43344	-1	43441	43538	43635	43732	-1	-1
44	1	10	5043	1	10141043	-1	年兽	Ride2_6	#G	48	80	0	0	43151	43248	43345	-1	43442	43539	43636	43733	-1	-1
45	2	10	5044	1	10141044	-1	花车	Ride2_7	#r#G召唤后可邀请同伴一同乘骑。	49	80	0	0	43152	43249	43346	-1	43443	43540	43637	43734	-1	-1
46	2	10	5045	1	10141045	-1	旋转木马	Ride2_8	#r#G召唤后可邀请同伴一同乘骑。	47	80	0	0	43153	43250	43347	-1	43444	43541	43638	43735	-1	-1
47	1	10	5046	1	10141046	-1	白云	RideHeader3_1	#G	50	80	0	0	43154	43251	43348	-1	43445	43542	43639	43736	-1	-1
48	1	10	5047	1	10141047	-1	黑土	RideHeader3_2	#G	51	80	0	0	43155	43252	43349	-1	43446	43543	43640	43737	-1	-1
49	1	10	5048	1	10141048	-1	巨猿	RideHeader3_3	#G	52	80	0	0	43156	43253	43350	-1	43447	43544	43641	43738	-1	-1
50	1	80	5049	1	10141049	4	琉璃凤	RideHeader3_5	#r#G仅峨嵋门派可召唤。	54	80	0	0	43157	43254	43351	-1	43448	43545	43642	43739	-1	-1
51	1	80	5050	1	10141050	2	银月狼	RideHeader3_8	#r#G仅丐帮门派可召唤。	57	80	0	0	43158	43255	43352	-1	43449	43546	43643	43740	-1	-1
