INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING				
ID	分类 ID（互斥用）	PRI优先级	图标文件名	触发特效ID	触发特效的音效ID	触发特效的绑定点	持续性特效ID	持续特效的音效ID	持续性特效的绑定点	死后是否保留	是否可以被技能驱散	是否是负面效果	是否可以被手动取消	是否为线性特效	线性特效的绑定点	效果说明$1$				
#本文件由潇湘解密QQ1400003003 																				
1	1	1	Buff0_1				g01_buff2		身体受击点	0	1	1	0	0		撕裂：持续掉血				
2	2	1	Buff0_2				npc_buff_19		身体受击点	0	1	1	0	0		中毒：持续掉血				
3	3	5010	Buff0_3				g01_buff32		身体受击点	0	1	1	0	0		诅咒：持续掉血				
4	4	5010	Buff0_4				g01_buff106		身体受击点	0	1	1	0	0		灼烧：持续掉血				
5	5	5010	Buff0_6				g01_buff46_01		身体受击点	0	1	1	0	0		噬血：持续掉血				
6	6	5010	Buff0_5				npc_buff_19		身体受击点	0	1	1	0	0		腐蚀：持续掉血				
7	7	1	Buff0_5							0	0	1	0	1	身体受击点	泄气：持续减气				
8	8	1	Buff0_6							0	0	1	0	1	身体受击点	安抚：持续减怒				
9	9	1	Medicine2_5							0	0	0	1	0		回血：持续回血				
10	10	1	Medicine2_6							0	0	0	1	0		回气：持续回气				
11	11	7010	Buff0_7		Skills\Common\rock_huge_1.wav		g01_buff12		脚下光圈点	0	1	1	0	0		围困：移动不能，操作不能，不可被攻击				
12	12	7010	Buff0_8							0	1	1	0	0		石化：移动不能，操作不能，不可被攻击				
13	13	7010	Buff0_9	all_bj0000		身体受击点	buff_fengxue_01		身体受击点	0	1	1	0	0		封穴：移动不能，操作不能，可被攻击，无法被打醒				
14	14	7010	Buff0_10				npc_buff_02		头顶状态点	0	1	1	0	0		麻痹：移动不能，操作不能，可被攻击，无法被打醒				
15	15	7010	Buff0_11				buff_hunmi_01		头顶状态点	0	1	1	0	0		昏睡：移动不能，操作不能，可被攻击，可被打醒				
16	16	1	Buff0_12				g01_buff38		头顶状态点	0	1	1	0	0		失魂：移动不能，操作不能，可被攻击，可被打醒				
17	17	7010	Buff0_13				g01_em_buff38		头顶状态点	0	1	1	0	0		失明：随机移动，操作不能，可被攻击，无法被打醒				
18	18	2001	Buff0_14		Skills\Common\fear_1.wav		npc_buff_07		头顶状态点	0	1	1	0	0		恐惧：随机移动，操作不能，可被攻击，无法被打醒				
19	19	7010	Buff0_15	Buff0_15	Skills\Sl\Sl_金刚伏魔圈_定身.wav	身体受击点	g01_buff27		脚下光圈点	0	1	1	0	0		定身：定身状态下可以攻击，但无法移动				
20	20	7010	Buff0_15				npc_buff_09		脚下光圈点	0	1	1	0	0		缠绕：无法移动				
21	21	7010	Buff0_16				buff_sangong_01		脚下光圈点	0	1	1	0	0		散功：无法使用任何门派技能				
22	22	7010	Buff0_16				g01_buff34		头顶状态点	0	1	1	0	0		就擒：无法使用任何门派技能				
