INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING				
INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33				
1	qiang1-1	qiang1.obj							wq_danduan_mo01	wq_danduan_wu01	wq_danduan_xuan01	wq_danduan_bing01	wq_danduan_huo01	wq_danduan_du01	wq_danduan_ming01	wq_danduan_hui01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_danduan_xuan01_dz	wq_danduan_bing01_dz	wq_danduan_huo01_dz	wq_danduan_du01_dz	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_danduan_kangxuan01	wq_danduan_kangbing01	wq_danduan_kanghuo01	wq_danduan_kangdu01				
2	qiang1-2	qiang1.obj							wq_danduan_mo01	wq_danduan_wu01	wq_danduan_xuan01	wq_danduan_bing01	wq_danduan_huo01	wq_danduan_du01	wq_danduan_ming01	wq_danduan_hui01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_danduan_xuan01_dz	wq_danduan_bing01_dz	wq_danduan_huo01_dz	wq_danduan_du01_dz	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_danduan_kangxuan01	wq_danduan_kangbing01	wq_danduan_kanghuo01	wq_danduan_kangdu01				
3	qiang1-3	qiang1.obj							wq_danduan_mo01	wq_danduan_wu01	wq_danduan_xuan01	wq_danduan_bing01	wq_danduan_huo01	wq_danduan_du01	wq_danduan_ming01	wq_danduan_hui01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_danduan_xuan01_dz	wq_danduan_bing01_dz	wq_danduan_huo01_dz	wq_danduan_du01_dz	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_danduan_kangxuan01	wq_danduan_kangbing01	wq_danduan_kanghuo01	wq_danduan_kangdu01				
4	qiang1-4	qiang1.obj							wq_danduan_mo01	wq_danduan_wu01	wq_danduan_xuan01	wq_danduan_bing01	wq_danduan_huo01	wq_danduan_du01	wq_danduan_ming01	wq_danduan_hui01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_danduan_xuan01_dz	wq_danduan_bing01_dz	wq_danduan_huo01_dz	wq_danduan_du01_dz	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_danduan_kangxuan01	wq_danduan_kangbing01	wq_danduan_kanghuo01	wq_danduan_kangdu01				
5	qiang1-5	qiang1.obj							wq_danduan_mo01	wq_danduan_wu01	wq_danduan_xuan01	wq_danduan_bing01	wq_danduan_huo01	wq_danduan_du01	wq_danduan_ming01	wq_danduan_hui01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_danduan_xuan01_dz	wq_danduan_bing01_dz	wq_danduan_huo01_dz	wq_danduan_du01_dz	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_dadao_shuang_bing01	wq_danduan_kangxuan01	wq_danduan_kangbing01	wq_danduan_kanghuo01	wq_danduan_kangdu01				
6	qiang2-1	qiang2.obj							wq_danduan_mo01	wq_danduan_wu01	wq_danduan_xuan01	wq_danduan_bing01	wq_danduan_huo01	wq_danduan_du01	wq_danduan_ming01	wq_danduan_hui01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_danduan_xuan01_dz	wq_danduan_bing01_dz	wq_danduan_huo01_dz	wq_danduan_du01_dz	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_danduan_kangxuan01	wq_danduan_kangbing01	wq_danduan_kanghuo01	wq_danduan_kangdu01				
7	qiang2-2	qiang2.obj							wq_danduan_mo01	wq_danduan_wu01	wq_danduan_xuan01	wq_danduan_bing01	wq_danduan_huo01	wq_danduan_du01	wq_danduan_ming01	wq_danduan_hui01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_danduan_xuan01_dz	wq_danduan_bing01_dz	wq_danduan_huo01_dz	wq_danduan_du01_dz	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_danduan_kangxuan01	wq_danduan_kangbing01	wq_danduan_kanghuo01	wq_danduan_kangdu01				
8	qiang2-3	qiang2.obj							wq_danduan_mo01	wq_danduan_wu01	wq_danduan_xuan01	wq_danduan_bing01	wq_danduan_huo01	wq_danduan_du01	wq_danduan_ming01	wq_danduan_hui01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_danduan_xuan01_dz	wq_danduan_bing01_dz	wq_danduan_huo01_dz	wq_danduan_du01_dz	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_danduan_kangxuan01	wq_danduan_kangbing01	wq_danduan_kanghuo01	wq_danduan_kangdu01				
9	qiang2-4	qiang2.obj							wq_danduan_mo01	wq_danduan_wu01	wq_danduan_xuan01	wq_danduan_bing01	wq_danduan_huo01	wq_danduan_du01	wq_danduan_ming01	wq_danduan_hui01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_danduan_xuan01_dz	wq_danduan_bing01_dz	wq_danduan_huo01_dz	wq_danduan_du01_dz	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_dadao_shuang_du01	wq_danduan_kangxuan01	wq_danduan_kangbing01	wq_danduan_kanghuo01	wq_danduan_kangdu01				
