INT	INT	INT
ID	等级	最大金钱
1	1	2000000000
2	2	2000000000
3	3	2000000000
4	4	2000000000
5	5	2000000000
6	6	2000000000
7	7	2000000000
8	8	2000000000
9	9	2000000000
10	10	2000000000
11	11	2000000000
12	12	2000000000
13	13	2000000000
14	14	2000000000
15	15	2000000000
16	16	2000000000
17	17	2000000000
18	18	2000000000
19	19	2000000000
20	20	2000000000
21	21	2000000000
22	22	2000000000
23	23	2000000000
24	24	2000000000
25	25	2000000000
26	26	2000000000
27	27	2000000000
28	28	2000000000
29	29	2000000000
30	30	2000000000
31	31	2000000000
32	32	2000000000
33	33	2000000000
34	34	2000000000
35	35	2000000000
36	36	2000000000
37	37	2000000000
38	38	2000000000
39	39	2000000000
40	40	2000000000
41	41	2000000000
42	42	2000000000
43	43	2000000000
44	44	2000000000
45	45	2000000000
46	46	2000000000
47	47	2000000000
48	48	2000000000
49	49	2000000000
50	50	2000000000
51	51	2000000000
52	52	2000000000
53	53	2000000000
54	54	2000000000
55	55	2000000000
56	56	2000000000
57	57	2000000000
58	58	2000000000
59	59	2000000000
60	60	2000000000
61	61	2000000000
62	62	2000000000
63	63	2000000000
64	64	2000000000
65	65	2000000000
66	66	2000000000
67	67	2000000000
68	68	2000000000
69	69	2000000000
70	70	2000000000
71	71	2000000000
72	72	2000000000
73	73	2000000000
74	74	2000000000
75	75	2000000000
76	76	2000000000
77	77	2000000000
78	78	2000000000
79	79	2000000000
80	80	2000000000
81	81	2000000000
82	82	2000000000
83	83	2000000000
84	84	2000000000
85	85	2000000000
86	86	2000000000
87	87	2000000000
88	88	2000000000
89	89	2000000000
90	90	2000000000
91	91	2000000000
92	92	2000000000
93	93	2000000000
94	94	2000000000
95	95	2000000000
96	96	2000000000
97	97	2000000000
98	98	2000000000
99	99	2000000000
100	100	2000000000
101	101	2000000000
102	102	2000000000
103	103	2000000000
104	104	2000000000
105	105	2000000000
106	106	2000000000
107	107	2000000000
108	108	2000000000
109	109	2000000000
110	110	2000000000
111	111	2000000000
112	112	2000000000
113	113	2000000000
114	114	2000000000
115	115	2000000000
116	116	2000000000
117	117	2000000000
118	118	2000000000
119	119	2000000000
120	120	2000000000
121	121	2000000000
122	122	2000000000
123	123	2000000000
124	124	2000000000
125	125	2000000000
126	126	2000000000
127	127	2000000000
128	128	2000000000
129	129	2000000000
130	130	2000000000
131	131	2000000000
132	132	2000000000
133	133	2000000000
134	134	2000000000
135	135	2000000000
136	136	2000000000
137	137	2000000000
138	138	2000000000
139	139	2000000000
140	140	2000000000
141	141	2000000000
142	142	2000000000
143	143	2000000000
144	144	2000000000
145	145	2000000000
146	146	2000000000
147	147	2000000000
148	148	2000000000
149	149	2000000000
150	150	2000000000
151	151	2000000000
152	152	2000000000
153	153	2000000000
154	154	2000000000
155	155	2000000000
156	156	2000000000
157	157	2000000000
158	158	2000000000
159	159	2000000000
160	160	2000000000
161	161	2000000000
162	162	2000000000
163	163	2000000000
164	164	2000000000
165	165	2000000000
166	166	2000000000
167	167	2000000000
168	168	2000000000
169	169	2000000000
170	170	2000000000
171	171	2000000000
172	172	2000000000
173	173	2000000000
174	174	2000000000
175	175	2000000000
176	176	2000000000
177	177	2000000000
178	178	2000000000
179	179	2000000000
180	180	2000000000
181	181	2000000000
182	182	2000000000
183	183	2000000000
184	184	2000000000
185	185	2000000000
186	186	2000000000
187	187	2000000000
188	188	2000000000
189	189	2000000000
190	190	2000000000
191	191	2000000000
192	192	2000000000
193	193	2000000000
194	194	2000000000
195	195	2000000000
196	196	2000000000
197	197	2000000000
198	198	2000000000
199	199	2000000000
200	200	2000000000
201	201	2000000000
202	202	2000000000
203	203	2000000000
204	204	2000000000
205	205	2000000000
206	206	2000000000
207	207	2000000000
208	208	2000000000
209	209	2000000000
210	210	2000000000
211	211	2000000000
212	212	2000000000
213	213	2000000000
214	214	2000000000
215	215	2000000000
216	216	2000000000
217	217	2000000000
218	218	2000000000
219	219	2000000000
220	220	2000000000
221	221	2000000000
222	222	2000000000
223	223	2000000000
224	224	2000000000
225	225	2000000000
226	226	2000000000
227	227	2000000000
228	228	2000000000
229	229	2000000000
230	230	2000000000
231	231	2000000000
232	232	2000000000
233	233	2000000000
234	234	2000000000
235	235	2000000000
236	236	2000000000
237	237	2000000000
238	238	2000000000
239	239	2000000000
240	240	2000000000
241	241	2000000000
242	242	2000000000
243	243	2000000000
244	244	2000000000
245	245	2000000000
246	246	2000000000
247	247	2000000000
248	248	2000000000
249	249	2000000000
250	250	2000000000
251	251	2000000000
252	252	2000000000
253	253	2000000000
254	254	2000000000
255	255	2000000000
