INT	STRING
10	忘了从10开始冒泡
11	怪物冒泡了！！！
12	怪物真的冒泡了！！！
13	怪物又冒泡了！！！
14	怪物14又冒泡了！！！
15	此路是我开，此树是我栽，要想从此过，留下买路财！
16	若牙崩半个不字，一刀一个，管杀不管埋！
17	拿命来！！！
18	通通不许动，钱财身外物，命是自己的！
19	站住！把你的钱和首饰都给我交出来！
20	抢劫！不老实点儿我连色一起劫！
21	我先劫个色。
22	想知道宝藏的秘密？用你的本事和我说话吧。
23	做为一个专业的马贼，守口如瓶是基本的职业道德。
24	想较量一下吗？来来来，看看本座的武功如何。
25	嘿！你跑不了了！
26	和我抢宝贝，你去死吧！
27	宝贝是我盗来的，就怕你没本事拿回去！
28	宝藏是我们主人的，你休想拿走！
29	嘿！又来了一个送死的！
30	休想拿走我的宝贝！
31	受死吧！你这个盗墓贼！
32	啊啊啊！看招！
33	快来送死吧！
34	萨玛，我知道我对不起你。可我还是来见你了！
35	萨鲁一定是被什么家伙控制了，现在苍山狼人们面临着巨大的危机！
36	只有你！萨玛！能拯救整个苍山狼人部落！这位英雄，$N，会帮助你的！
37	啊，$N，现在我是阿菲了，不是郡主了。
38	$N，走吧，我们现在就去追风岭。
39	阮诚！我是萧蔷！我来找你了！
40	我现在不是郡主了，以后也不是了！阮诚！我爱你！
41	哥哥，我要跟着$N大英雄回家啦，你也要早点回来啊。
42	爹，我回来啦。哥哥说他是男子汉，要完成任务才能回来。
43	啊，$N，我的朋友。我们现在就出发吧。
44	等等，我想一想，我们应该往左还是往右……
45	我的马靴沾上了泥土！天哪，这对于一个骑士来说太不体面了！
46	我们这样走很无聊的，我可以给你讲讲腓特烈大帝的故事。
47	好吧，我不讲了。条件是你不要再皱起你的眉头。
48	啊，我想我们已经到了。我的老朋友，沈万三，不就在那边吗！
49	谢谢你的帮助，你将得到一位德意志骑士的永远的尊敬！
50	我好像已经成功的脱离了自己的身体……$N，我成功了。
51	听说四十年前，我们黑苗的奢香公主也曾经进入过寒玉塔……
52	现在，我也要和她一样了……
53	再见了，扬大哥，白姐姐。再见了，我的朋友和亲人。
54	$N，我们快走吧，我好想早点见到子衿哥哥呢。
55	好累啊，还有多远啊？
56	人家走不动了啦。
57	子衿哥哥，子衿哥哥！我是悠悠啊，我终于找到你了！
58	本山人已经很长时间没有出手了，既然你们来了也好，帮我活动活动筋骨。
59	咦……看来你们几个还不一般啊，我得认真对待了。
60	是你们逼我的……看掌！
61	呃……就这样结束了吗？不，我还会在珍珑棋局中再生的！哈哈哈哈……
62	还真有不怕死的！
63	来了几个狠角儿，大家逃命啊！
64	全是废物，还得我亲自动手！
65	呀呀个呸的，老子就知道伪装宋兵没好下场！
66	孩儿们，给我顶住，顶住……老子先撤了
67	糟糕！这阵子吃太胖，小路钻不过去，只能从大路撤了……
68	大王回山啦！
69	杀了该死的官兵！
70	什么人敢来闯寨?看我怎么收拾你!
71	有人闯寨，弟兄们抄家伙啦！
72	天王盖地虎！
73	加油啊！
74	大快人心，真是英雄啊！
75	不愧是英雄，为民除害啊！
76	这些坏蛋，平日鱼肉百姓，真是解恨！
77	需要我帮忙招呼一声！
78	真乃好武功！
79	一招一式无不见大家风范，佩服！
80	段誉哥哥和木姐姐就被关在这里。
81	石屋门口那个石敢当的旁边有缝隙，可以从那里听到段誉哥哥的声音，也可以从那里说话给他听。
82	王姑娘，王姑娘，敌人都打死了！
83	未必都死了。
84	这位姑娘身中奇毒，肢体乏力，不能行走，请你行个方便，将她送回太湖曼陀山庄她的家里。
85	我为什么要行这个方便？西夏征东大将军颁下将令，是谁擒到这位博学多才的姑娘，赏赐黄金千两，官封万户侯。
86	王姑娘，在下无能，不能护送姑娘回府，实在惭愧。他日姑娘荣归宝府，与令表兄成亲大喜，别忘了在曼陀山庄在下手植的那几株茶花之旁，浇上几杯酒，算是在下喝了你的喜酒。
87	你别杀他！
88	这姓段的对你着实不错，你对这姓段的也是一往情深啊。
89	他如果为我而死，我自当决意为他报仇。
90	你说这话决不懊悔？
91	决不懊悔。
92	哈哈！
93	乔峰！你要来的消息，鲍千灵已经告诉我们了。现在聚贤庄里的三百多人，每一个人都想杀你而扬名立万。你绝不可能是他们的对手的。快走吧！
94	这位阿朱姑娘受了重伤，当今之世，除了薛神医外，无人再能医得。
95	乔峰，你再不走，就走不了了！你虽然为丐帮建下无数功劳，但国家大义为重，便是丐帮兄弟，对你也一样不会手下容情！
96	多谢徐长老好意。乔某一定要请薛神医给阿朱治伤，此外，更无挂虑！
97	陛下，叛军虽然人多势众，粮草充足，但军心并不稳固，不宜久战。以$N侦察到的情况来看，苍茫山西山道有很大的缺口的。我可以保护陛下，从这里逃走。再图恢复。
98	兄弟，你说的很对，但眼下我们是否能撑得过明日，都很难讲。你在南朝时日长久，不知咱们辽国规矩，朕若是逃走了，皇帝威名便不复存在。
99	朕要找一个可靠之人，将圣旨送给雁北的耶律余睹元帅，请他出兵勤王。他曾多次劝告于朕，楚王位高权重，日后必反，朕却没有听他的，实在是惭愧啊。
100	乱臣向陛下请罪，求陛下哀怜。
101	兄弟，你说当如何？
102	叛军人多势众，须当安定军心，求陛下赦免皇太叔死罪，好让大家放心。
103	很好，很好，一切依你，一切依你。
104	北院大王，你传下圣旨，封萧峰为楚王，官居南院大王，督率叛军，回归上京。
105	段先生，这一着却看你如何破解？
106	段施主，你起初十着走的是正着，第十一着起，走入了旁门，越走越偏，再也难以挽救了。
107	你少林派是名门正宗，依你正道，却又如何解法？
108	这棋局似正非正，似邪非邪，用正道是解不开的，但若纯走偏锋，却也不行！
109	前无去路，后有追兵，正也不是，邪也不是，那可难也！
110	是啊！一个人由正入邪易，改邪归正难，你这一生啊，注定是毁了，毁了，毁了！唉，可惜，一失足成千古恨，再想回首，那也是不能了！
111	我以大理国皇子之尊，今日落魄江湖，沦落到这步田地，实在愧对列祖列宗。不如自尽了吧。
112	不如自尽了吧……
113	我来解开这棋局！
114	胡闹，胡闹，你自填一气，自己杀死一块白棋，哪有这等下棋的法子？
115	先师遗命，此局不论何人，均可入局。小师父这一着虽然异想天开，总也是入局的一着。
116	小神僧天赋英才，可喜可贺。请进后屋。
117	愧不敢当，愧不敢当。
118	你说谎，师哥怎么会喜欢你这侏儒！
119	师伯，师叔她好像已经不成了。
120	好，好，小贱人终于先我而死，我的大仇已经报了，哈哈，哈哈……
121	虚竹，你是逍遥派的掌门人，我又已将生死符、天山折梅手、天山六阳掌等一干功夫传你，从今日起，你便是灵鹫宫天山派的主人，灵鹫宫……灵鹫宫九天九部的奴婢，生死一任你意。
122	师伯，师伯，这个万万不可……
123	哈哈，那个梦中姑娘，你想不想见？你答不答允我做灵鹫宫的主人？
124	这个……我……想，好……我答允……
125	很好！你将那幅图画拿来，让我亲手撕个稀烂。我再无挂心之事，便可指点你去寻那梦中姑娘的途径。
126	不是她，不是她，不是她！哈哈，哈哈，哈哈！
127	嘿嘿，师姊，终究是你先走一步啊……
128	啊，师叔，你怎么又……又活了？
129	贤侄，你把那幅画拿过来给我瞧瞧，为什么师姊又哭又笑，啼笑皆非的西去？
130	是她，是她，是她！哈哈，哈哈，哈哈！
131	她……是我的小妹子。师哥，你真正爱的人，是我的小妹子，现在我才真正的明白了。
132	师姊，你我两个都是可怜虫，都……都……教这没良心的给骗了！
133	这里便是公主殿下的内书房，请众位随意观赏书画。
134	公主殿下有谕：书房壁上刻有武学图形，别派人士不宜观看，是以用字画悬在壁上，以加遮掩，不料还是有人见到了。公主殿下说道：请各位千万不可晃亮火折，不可以火石打火，否则恐有凶险，诸多不便。公主殿下有些言语要向诸位佳客言明，黑暗之中，颇有失敬，还请各位原谅。
135	公主殿下请众位来到西夏，原是要会见佳客。公主现有三个问题，敬请各位挨次回答。若是合了公主心意，自当请见。
136	段王子，请问你一生之中，在什么地方最是快乐逍遥？
137	在一口枯井的污泥之中！
138	哈哈，哈哈！
139	请问王子生平最爱的人，叫什么名字？
140	是……我最爱的，是我爹爹，妈妈。
141	令尊令堂的相貌如何？是否与王子颇为相似？
142	我爹爹四方脸蛋、浓眉大眼，形貌甚是威武。其实他的性子倒很和善……
143	多谢王子，请王子这边休息。
144	慕容公子，请问公子生平在什么地方最是快乐逍遥？
145	我……要我觉得真正快乐，那是将来，不是过去。
146	公子生平最爱之人叫什么名字？
147	我没什么最爱之人。
148	如此说来，这第三问也不用问了。请慕容公子这边休息。
149	请问虚竹先生，平生在什么地方最是快乐逍遥？
150	唉，在一个黑暗的冰窖之中。
151	先生生平最爱之人叫什么名字？
152	唉！我……我不知道那位姑娘叫什么名字。
153	不知那位姑娘的姓名，那也不是奇事，当年孝子董永见到天上仙女下凡，并不知她的姓名底细，就爱上了她。虚竹子先生，这位姑娘的容貌定然是美丽非凡了？
154	她容貌如何，我也是从来没看见过……
155	什么？$N，你觉得我走得有点慢？你要知道，苍山的地面可一直就是这么滑的。
156	不要嫌远，神明曾经曰过的，我们只要走这条路，就可以完全避开萨鲁的耳目。
157	呃……我的鞋子里好像进沙子了……你等一等……
158	我的鞋带又开了……$N，你那是什么表情？好吧，我不贫了还不行吗。
159	要见到萨玛了吗……$N，先帮我把这根白头发拔了吧。
160	何方狂徒，怎敢私闯公堂？
161	来人啊！救命啊！有刺客……
162	好汉饶命……
163	吭哧，吭哧，累了，休息一下……
164	让你们尝尝浔阳江上的风浪吧！
165	看来是个很强的队伍呢！我也要加油了哦！#70#70
166	啊，我生气啦！#15#15#15我要让你们知道：你的就是我的，我的还是我的！
167	欺负我一个小姑娘，你们不算好汉！#13
168	好疼啊#13#13人家不和你玩了啦！啊……
169	呃……生命不多了，我来慢慢恢复一下……应该不会被打断吧！
170	这些家伙不知死活，我的打手们，现在是时候出来了！
171	哈哈，哈哈！闪避低的菜鸟家伙！看招吧！！
172	兄弟们，眼睛都给我放亮一点，我倒要看看谁敢来我的地盘捣乱。
173	恩。很好！很强大！
174	今天我有一种不详的预感，总感觉会有冤家找上门来。
175	兄弟姐妹们，休息，休息一会！
176	飞天猫变形！哦，不对。是无敌飞天猫，变形！
177	我饿了。
178	我真的饿了。
179	饭前散步胃口好，饭后散步消化好；带上小弟走一走，身体健康乐逍遥。
180	老二，老三，老四，老五，咱们合体吧。哈哈，开玩笑的！
181	愿护岛神兽大哥的光辉永远祝福你们！
182	兄弟们，停下！周围不对劲，都小心点！
183	敌人厉害的紧，我抵挡不住了，快来助我一臂之力。
184	#c66ccff大家一起来比赛赛跑吧，看谁跑的快！#77
185	#c66ccff人生在世，最悠闲的事情莫过于在寒玉谷中和小兔一起跑步。#4我真是一只幸福的熊啊！
186	#c66ccff哼，凌波微步算什么，#85当年若不是我老熊喝了逍遥子的酒，一时兴起，就走了几步熊波醉步，否则哪有什么凌波微步。#7
187	#c66ccff#90想当年我老熊纵横玄武岛三百年，只因为一不小心服用了一颗珍兽还童丹，就变成现在这副模样，真是没脸出去见人了。#86
188	#c66ccff若不是我老熊早有了退隐之心，#17那武林盟主于九莲连我三招都接不了。
189	#c66ccff大家都是习武之人，讲究以和为贵。#82大家都别打我了，都去打鸭子吧。#81
190	#c66ccff我老熊没啥优点，就是皮厚#17，你们不信尽管来试试，我老熊绝不还手！
191	#c66ccff大家都别欺负小兔，有什么招都往我老熊身上来，我老熊怕过谁？#14
