INT	INT
宠物等级	升级经验
1	9
2	32
3	63
4	115
5	178
6	261
7	366
8	497
9	562
10	605
11	660
12	723
13	799
14	904
15	1047
16	1199
17	1395
18	1639
19	1938
20	2039
21	2412
22	2845
23	3344
24	3911
25	4594
26	5400
27	6294
28	7281
29	8364
30	8654
31	10099
32	11658
33	13333
34	15130
35	17052
36	19102
37	20068
38	22254
39	23827
40	24592
41	26997
42	29560
43	32283
44	35173
45	38235
46	41472
47	43394
48	46069
49	47931
50	49713
51	51399
52	54054
53	57892
54	61909
55	66110
56	67677
57	72073
58	76656
59	81430
60	86400
61	87754
62	92902
63	98248
64	103796
65	107169
66	110741
67	117384
68	124740
69	132832
70	135245
71	144443
72	154413
73	165177
74	176757
75	180736
76	194544
77	209806
78	226566
79	244867
80	256110
81	276364
82	309345
83	357674
84	422809
85	504966
86	603053
87	714594
88	835659
89	960792
90	1082939
91	1193375
92	1281632
93	1335428
94	1474655
95	1601261
96	1707764
97	1785676
98	2086247
99	2422029
100	2460519
101	2500054
102	2540655
103	2582342
104	2625139
105	2669065
106	2714144
107	2760397
108	2807844
109	2856509
110	2906412
111	2957575
112	3010019
113	3063767
114	3118839
115	3175258
116	3233045
117	3292221
118	3352809
119	3414829
120	3478304
121	3543255
122	3609703
123	3677671
124	3747179
125	3818250
126	3890905
127	3965166
128	4041053
129	4118590
130	4197796
131	4278695
132	4361308
133	4445655
134	4531760
135	4619643
136	4709326
137	4800830
138	4894178
139	4989390
140	5086489
141	5185496
142	5286432
143	5389320
144	5494180
145	5794354
146	6132618
147	6511839
148	6934939
149	7404900
150	7404900
151	7404900
152	7404900
153	7404900
154	7404900
155	7404900
156	1031973
157	1074283
158	1116593
159	1158903
160	1201213
161	1243523
162	1285833
163	1328143
164	1370453
165	1412763
166	1455073
167	1497383
168	1539693
169	1582003
170	1624313
171	1666623
172	1708933
173	1751243
174	1793553
175	1835863
176	1878173
177	1920483
178	1962793
179	2005103
180	2047413
181	2089723
182	2132033
183	2174343
184	2216653
185	2258963
186	2301273
187	2343583
188	2385893
189	2428203
190	2470513
191	2512823
192	2555133
193	2597443
194	2639753
195	2682063
196	2724373
197	2766683
198	2808993
199	2851303
200	2893613
201	2935923
202	2978233
203	3020543
204	3062853
205	3105163
206	3147473
207	3189783
208	3232093
209	3274403
210	3316713
211	3359023
212	3401333
213	3443643
214	3485953
215	3528263
216	3570573
217	3612883
218	3655193
219	3697503
220	3739813
221	3782123
222	3824433
223	3866743
224	3909053
225	3951363
226	3993673
227	4035983
228	4078293
229	4120603
230	4162913
231	4205223
232	4247533
233	4289843
234	4332153
235	4374463
236	4416773
237	4459083
238	4501393
239	4543703
240	4586013
241	4628323
242	4670633
243	4712943
244	4755253
245	4797563
246	4839873
247	4882183
248	4924493
249	4966803
250	5009113
251	5051423
252	5093733
253	5136043
254	5178353
255	0
