INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
index	名称	INT	INT	INT	INT	INT	最大等级	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	前置	INT	INT	INT	INT	INT	INT	STRING
1	且醉且狂	-1	2	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	酒狂
2	蟠龙击·神威	39	2	0	2	213	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	酒狂
3	龙息	4	2	0	2	223	5	10	40	20	80	30	120	50	160	80	200	-1	-1	-1	-1	-1	-1	-1	酒狂
4	破阵急奏	2	2	0	3	215	5	20	2	30	4	50	6	80	8	130	10	2	5	-1	-1	-1	-1	-1	酒狂
5	烟锁迷阵	3	2	0	3	215	5	20	100	30	200	50	300	80	400	130	500	2	5	-1	-1	42841	-1	-1	酒狂
6	揽杯倾盏	5	2	0	3	223	5	20	10	30	20	50	30	80	40	130	50	3	5	-1	-1	-1	-1	-1	酒狂
7	虬龙返	7	2	0	4	213	5	40	60	70	120	110	180	180	240	290	300	-1	-1	10	-1	-1	-1	-1	酒狂
8	醉里腾挪	8	2	0	4	-1	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	-1	-1	-1	-1	酒狂
9	酩酊龙舞	11	2	0	5	219	5	80	100	120	200	200	300	320	400	520	500	-1	-1	15	50	-1	-1	-1	酒狂
10	酣然一醉	12	2	0	5	219	5	80	30	120	60	200	90	320	120	520	150	-1	-1	15	50	-1	-1	-1	酒狂
11	吞风饮雨	13	2	0	5	219	5	80	1	120	2	200	3	320	4	520	5	6	5	15	1	351	364	-1	酒狂
12	杀破狼	-1	2	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	行侠
13	蟠龙击·神威	39	2	1	2	213	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	行侠
14	千里烟瘴	1	2	1	2	214	5	10	150	20	300	30	450	50	600	80	750	-1	-1	-1	-1	6	-1	-1	行侠
15	速战速决	2	2	1	3	236	5	20	20	30	40	50	60	80	80	130	100	13	5	-1	-1	-1	-1	-1	行侠
16	风掠广陌	6	2	1	3	236	5	20	1	30	2	50	3	80	4	130	5	13	5	-1	-1	-1	-1	-1	行侠
17	千里疾驰	2	2	1	3	214	5	20	5	30	10	50	15	80	20	130	25	14	5	-1	-1	-1	-1	-1	行侠
18	龙行乾坤	9	2	1	4	213	5	40	60	70	120	110	180	180	240	290	300	-1	-1	10	2	365	-1	-1	行侠
19	迭步蓄势	10	2	1	4	-1	5	40	5	70	10	110	15	180	20	290	25	-1	-1	10	-1	-1	-1	-1	行侠
20	断肠天涯	14	2	1	5	235	5	80	100	120	200	200	300	320	400	520	500	18	5	-1	-1	-1	-1	-1	行侠
21	乾坤覆	15	2	1	5	235	5	80	50	120	100	200	100	320	150	520	150	18	5	-1	-1	-1	-1	-1	行侠
22	潜龙入海	16	2	1	5	232	5	80	50	120	100	200	150	320	200	520	250	19	5	-1	-1	-1	-1	-1	行侠
23	禅武印	-1	0	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	罗汉
24	伏虎拳·神威	39	0	0	2	160	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	罗汉
