INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT															
ID	策划专用ID	效果的简要逻辑说明$1$	技能描述(FOR TIP)$1$	技能描述(FOR Interface)$1$	技能逻辑ID	冷却时间	聚气时间(ms)	引导时间(ms)	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	目标级别	预留	预留	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值															
0	0	普通攻击	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF有效距离：0-2米#r瞬间释放#r#c5BC257自动连续释放	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF有效距离：0-2米#r瞬间释放#r#c5BC257自动连续释放#r（拖至快捷栏中使用）	0	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	0	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1												-1																			
1	0	捕兽	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF有效距离：0-8米#r运气时间：15秒#r捕捉宠物 如果该宠物同时被多人捕捉，则有一定机率捕捉失败	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF有效距离：0-8米#r运气时间：15秒#r捕捉宠物 如果该宠物同时被多人捕捉，则有一定机率捕捉失败	10	1300	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			生效一次的附加效果1	100																		-1																			
2	0	珍兽出战	召唤珍兽	召唤珍兽	11	1300	2500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			无																			-1																			
3	0	打开	打开	打开	641	1300	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			给自己的效果	-1	给目标的效果	169																																			
21	0	标准聚气乘骑	召唤坐骑，坐骑可以提升一定的移动速度#c54FF00（拖至快捷栏中使用）#r#c5BC257需要装备坐骑	召唤坐骑，坐骑可以提升一定的移动速度#c54FF00（拖至快捷栏中使用）#r#c5BC257需要装备坐骑	14	3000	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			所有骑乘buff的集合ID	66																																					
22	0	回城	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF返回主城#r冷却时间：5分钟	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF返回主城#r冷却时间：5秒钟	16	30000	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			回城术的效果	22	相冲突的物品的物品表中的索引	40002109	相冲突的物品的物品表中的索引	40002000	相冲突的物品的物品表中的索引	-1	相冲突的物品的物品表中的索引	-1	相冲突的物品的物品表中的索引	-1	相冲突的物品的物品表中的索引	-1	相冲突的物品的物品表中的索引	-1	相冲突的物品的物品表中的索引	-1																					
23	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																																									
24	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																																									
25	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																																									
26	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																																									
27	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																																									
28	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																																									
29	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																																									
30	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																																									
