INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
ID	名称$1$	ToolTips$1$	类别	逻辑ID	隐形级别	陷阱专用标记	可激活次数	生存期持续特效	生存期持续音效	激发特效	激发音效	死亡特效	死亡音效	预留	预留	预留	 子弹ID	持续时间	激活或触发时间间隔	触发半径	影响半径	影响个体数目	预留	预留	预留	预留	预留	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	详细说明(内部使用)
1	漫天花雨	漫天花雨	0	1	0	0	0	漫天花雨3	-1		-1							125000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
2	飞火流星	飞火流星	0	1	0	0	0	yanhuo19	-1		-1							30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
3	八面玲珑	八面玲珑	0	1	0	0	0	yanhuo20	-1		-1							30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
4	雪落无声	雪落无声	0	1	0	0	0	yanhuo31	-1		-1							30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
5	落英缤纷	落英缤纷	0	1	0	0	0	yanhuo32	-1		-1							30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
6	舞榭歌台	舞榭歌台	0	1	0	0	0	yanhuo33	-1		-1							30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
7	剑雨飘香	剑雨飘香	0	1	0	0	0	yanhuo099	-1		-1							30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
8	九曲连环	九曲连环	0	1	0	0	0	yanhuo199	-1		-1							30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
9	紫气东来	紫气东来	0	1	0	0	0	yanhuo201	-1		-1							30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
10	萤火虫	萤火虫	0	1	0	0	0	萤火虫烟花	-1		-1							30000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
11	怒海狂涛	怒海狂涛	0	1	0	0	0	yanhuo_RMB01	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
12	龙潜于渊	龙潜于渊	0	1	0	0	0	yanhuo_RMB02	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
13	经天纬地	经天纬地	0	1	0	0	0	yanhuo_RMB03	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
14	岸芷汀兰	岸芷汀兰	0	1	0	0	0	yanhuo_RMB04	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
15	流光溢彩	流光溢彩	0	1	0	0	0	yanhuo_RMB06	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
16	天舞宝轮	天舞宝轮	0	1	0	0	0	yanhuo_RMB07	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
17	天若有情	天若有情	0	1	0	0	0	yanhuo_RMB08	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
18	烈火飞旋	烈火飞旋	0	1	0	0	0	yanhuo_RMB09	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
19	五星连珠	五星连珠	0	1	0	0	0	yanhuo_RMB10	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
20	人生如梦	人生如梦	0	1	0	0	0	yanhuo_RMB11	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
21	ILOVEYOU	ILOVEYOU	0	1	0	0	0	yanhuo_RMB12	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
22	喜欢你	喜欢你	0	1	0	0	0	yanhuo_RMB13	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
23	发财了	发财了	0	1	0	0	0	yanhuo_RMB14	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
24	我结婚了	我结婚了	0	1	0	0	0	yanhuo_RMB15	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
25	国庆快乐	国庆快乐	0	1	0	0	0	yanhuo_国庆快乐	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
26	欢度新春	欢度新春	0	1	0	0	0	yanhuo_欢度新春	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
27	六一快乐	六一快乐	0	1	0	0	0	yanhuo_六一快乐	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
28	情人节快乐	情人节快乐	0	1	0	0	0	yanhuo情人节快乐	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
29	圣诞快乐	圣诞快乐	0	1	0	0	0	yanhuo_圣诞快乐	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
30	五一快乐	五一快乐	0	1	0	0	0	yanhuo_五一快乐	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
31	元旦快乐	元旦快乐	0	1	0	0	0	yanhuo_元旦快乐	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
32	中秋快乐	中秋快乐	0	1	0	0	0	yanhuo_中秋快乐	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
33	光棍行我看行	光棍行我看行	0	1	0	0	0	yanhuo_RMB21	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
34	我自由我快乐	我自由我快乐	0	1	0	0	0	yanhuo_RMB22	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
35	圣诞快乐	圣诞快乐	0	1	0	0	0	yanhuo_RMB24	-1		-1							35000	500	0	0	0						效果2	-1	效果3	-1	效果4几率	-1	效果4	-1																									
36	元旦快乐	元旦快乐	0	1	0	0	0	yanhuo_RMB25	-1		-1							35000	500	0	0	0						效果3	-1	效果4	-1	效果5几率	-1	效果5	-1																									
37	HAPPYNEWYEAR	HAPPYNEWYEAR	0	1	0	0	0	yanhuo_RMB23	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
38	千寻场景特效	千寻	0	1	0	0	0	yanhuo_节日快乐	-1		-1							20000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
39	春节快乐	春节快乐	0	1	0	0	0	yanhuo_RMB30	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
40	拜大年	拜大年	0	1	0	0	0	yanhuo_RMB26	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
41	过年好	过好年	0	1	0	0	0	yanhuo_RMB27	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
42	万事如意	万事如意	0	1	0	0	0	yanhuo_RMB29	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
43	吉祥如意	吉祥如意	0	1	0	0	0	yanhuo_RMB28	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
44	孔明灯升空1	孔明灯升空1	0	1	0	0	0	npc_孔明灯01	-1		-1							40000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
45	孔明灯升空2	孔明灯升空2	0	1	0	0	0	npc_孔明灯03	-1		-1							40000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
46	孔明灯升空3	孔明灯升空3	0	1	0	0	0	npc_孔明灯02	-1		-1							40000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
47	西瓜皮陷阱	西瓜皮陷阱	1	2	150	2	1	g01_西瓜皮摆放	-1	g1_西瓜皮触发	-1							30000	500	3	3	1						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1	脚本	808089	影响性质	0																					
48	捕兽夹陷阱	捕兽夹陷阱	1	2	150	2	1	g01_捕兽夹摆放	-1	g1_捕兽夹触发	-1							30000	500	3	3	1						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1	脚本	808089	影响性质	0																					
49	XXX	XXX	0	1	0	0	0	yanhuo_RMB17	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
50	XXX	XXX	0	1	0	0	0	yanhuo_RMB18	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
51	XXX	XXX	0	1	0	0	0	yanhuo_RMB19	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
52	XXX	XXX	0	1	0	0	0	yanhuo_RMB20	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
53	劳动最光荣	劳动最光荣	0	1	0	0	0	yanhuo_劳动最光荣	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
54	绿波香露	绿波香露	3	0	0	1	1		-1	boss_飘渺峰乌老大3_zdo	-1							4000	3000	0	5	12						效果1	10250	效果2	-1	效果3几率	-1	效果3	-1																									
55	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地	-1							10000	2000	200	7	12						效果1	5947	效果2	-1	效果3几率	-1	效果3	-1																									
56	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地	-1							10000	2000	200	7	12						效果1	5956	效果2	-1	效果3几率	-1	效果3	-1																									
57	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地	-1							10000	2000	200	7	12						效果1	5957	效果2	-1	效果3几率	-1	效果3	-1																									
58	山神的愤怒	山神的愤怒	0	0	0	2	5	buff_帮派驻地01	-1	buff_帮派驻地	-1							10000	2000	200	7	12						效果1	5958	效果2	-1	效果3几率	-1	效果3	-1																									
59	寒冰	寒冰	0	0	0	2	15	boss_李秋水19	-1	boss_李秋水2	-1							30000	2000	200	5	12						效果1	10378	效果2	10379	效果3几率	-1	效果3	-1																									
60	帮主英明	帮主英明	0	1	0	0	0	yanhuo_帮主英明	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
61	跪谢	跪谢	0	1	0	0	0	yanhuo_跪谢Orz	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
62	嫁给我吧	嫁给我吧	0	1	0	0	0	yanhuo_嫁给我吧	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
63	囧rg	囧rg	0	1	0	0	0	yanhuo_orz	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
64	你是猪头	你是猪头	0	1	0	0	0	yanhuo_你是猪头	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
65	我错了	我错了	0	1	0	0	0	yanhuo_我错了	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
66	我想你了	我想你了	0	1	0	0	0	yanhuo_我想你了	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
67	永结同心	永结同心	0	1	0	0	0	yanhuo_永结同心	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
68	原谅我吧	原谅我吧	0	1	0	0	0	yanhuo_原谅我吧	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
69	心似千结	心似千结	0	1	0	0	0	yanhuo_七夕壹	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
70	金风玉露	金风玉露	0	1	0	0	0	yanhuo_七夕贰	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
71	琴瑟之好	琴瑟之好	0	1	0	0	0	yanhuo_七夕叁	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
72	绿波香露	绿波香露	3	0	0	1	1		-1	boss_飘渺峰乌老大3_zdo	-1							4000	3000	0	5	12						效果1	19805	效果2	-1	效果3几率	-1	效果3	-1																									小缥缈峰
73	寒冰	寒冰	0	0	0	2	15	boss_李秋水19	-1	boss_李秋水2	-1							30000	2000	200	5	12						效果1	19898	效果2	10379	效果3几率	-1	效果3	-1																									
74	北京欢迎您	北京欢迎您	0	1	0	0	0	yanhuo_奥运烟花01	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
75	中国加油	中国加油	0	1	0	0	0	yanhuo_奥运烟花03	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
76	好运中国	好运中国	0	1	0	0	0	yanhuo_奥运烟花02	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
77	奥运口号	奥运口号	0	1	0	0	0	yanhuo_奥运烟花04	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
78	心心相应	心心相应	0	1	0	0	0	yanhuo_情人节烟花	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
79	雨花之泪	雨花之泪	0	1	0	0	0	yanhuo_情人节_冰	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
80	迎春	迎春	0	1	0	0	0	yanhuo_春节快乐	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
81	恭贺新春	恭贺新春	0	1	0	0	0	yanhuo_春节烟花_灯笼	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
82	拜年啦	拜年啦	0	1	0	0	0	yanhuo_过年好	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
83	欢度元旦	欢度元旦	0	1	0	0	0	yanhuo_欢度元旦	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
84	欢度元宵	欢度元宵	0	1	0	0	0	yanhuo_欢度元宵	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
85	生日快乐	生日快乐	0	1	0	0	0	yanhuo_生日烟花1	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
86	生日快乐2	生日快乐2	0	1	0	0	0	yanhuo_生日快乐2_0	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
87	生日快乐3	生日快乐3	0	1	0	0	0	yanhuo_生日快乐3_0	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
88	圣诞快乐2	圣诞快乐2	0	1	0	0	0	yanhuo_圣诞烟花	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
89	元旦烟花	元旦烟花	0	1	0	0	0	yanhuo_元旦烟花_happy	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
90	元宵节快乐	元宵节快乐	0	1	0	0	0	yanhuo_元宵节	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
91	圣诞大家乐	圣诞大家乐	0	1	0	0	0	yanhuo_圣诞节	-1		-1							35000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
92	帮会宣战烟花	帮会宣战烟花	0	1	0	0	0	yanhua_全屏烟花	-1		-1							40000	500	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
93	龙之庆典	龙之庆典	0	1	0	0	0	天龙生日烟花	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
94	周年庆生	周年庆生	0	1	0	0	0	天龙烟花发射	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
95	周年庆生	周年庆生	0	1	0	0	0	天龙烟花发射	-1		-1							35000	500	0	0	0						效果4	-1	效果5	-1	效果6几率	-1	效果6	-1																									
100	木人傀儡爆炸	木人傀儡爆炸	2	0	0	1	1	cw_shixue	-1	g1_zdo_eguangmanying	897	g1_zdo_eguangmanying	897					100	100	0	0	0						效果1	-1	效果2	-1	效果3几率	-1	效果3	-1																									
#逍遥技能全修正 2019-12-5 17:04:06 逍遥子																																																												
101	桃花阵	桃花阵	1	0	10	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22768	效果2	-1	效果3几率	-1	效果3	-1																									
102	桃花阵	桃花阵	1	0	20	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22769	效果2	-1	效果3几率	-1	效果3	-1																									
103	桃花阵	桃花阵	1	0	30	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22770	效果2	-1	效果3几率	-1	效果3	-1																									
104	桃花阵	桃花阵	1	0	40	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22771	效果2	-1	效果3几率	-1	效果3	-1																									
105	桃花阵	桃花阵	1	0	50	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22772	效果2	-1	效果3几率	-1	效果3	-1																									
106	桃花阵	桃花阵	1	0	60	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22773	效果2	-1	效果3几率	-1	效果3	-1																									
107	桃花阵	桃花阵	1	0	70	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22774	效果2	-1	效果3几率	-1	效果3	-1																									
108	桃花阵	桃花阵	1	0	80	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22775	效果2	-1	效果3几率	-1	效果3	-1																									
109	桃花阵	桃花阵	1	0	90	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22776	效果2	-1	效果3几率	-1	效果3	-1																									
110	桃花阵	桃花阵	1	0	100	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22777	效果2	-1	效果3几率	-1	效果3	-1																									
111	桃花阵	桃花阵	1	0	110	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22778	效果2	-1	效果3几率	-1	效果3	-1																									
112	桃花阵	桃花阵	1	0	120	2	1	g01_xy_jq_xj_桃花阵	-1	g01_xy_jq_zdo_桃花阵	-1							30000	500	2	3	3						效果1	22779	效果2	-1	效果3几率	-1	效果3	-1																									
#兵圣奇阵技能 2019-12-5 17:27:45																																																												
126	妖星聚义	雷电测试	4	0	0	1	1	buff_陷阱_御玄之阵_01	-1	cw_zd_jiuleijisha	-1							2000	2000	5	5	6	0	0	0	0	0	效果1	8924	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
128	天罡阵	天罡阵	4	0	0	1	1	boss花容陷阱-人	-1	boss花容陷阱-爆发紫色	-1							30000	2000	2	5	12	0	0	0	0	0	效果1	8868	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
129	地煞阵	地煞阵	4	0	0	1	1	boss花容陷阱-地	-1	boss花容陷阱-爆发黄色	-1							30000	2000	2	5	12	0	0	0	0	0	效果1	8869	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
130	人亡阵	人亡阵	4	0	0	1	1	boss花容陷阱-失误	-1	boss花容陷阱-爆发红色	-1							30000	2000	2	5	12	0	0	0	0	0	效果1	8870	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
131	强化阵	强化阵	4	0	0	1	1	boss花容陷阱-天	-1	boss花容陷阱-爆发绿色	-1							10000	500	2	15	12	0	0	0	0	0	效果1	8871	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
132	公孙胜烟雾	公孙胜烟雾	0	1	0	0	0	boss_生死擂台公孙胜埋伏烟雾	-1		-1							2000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
133	公孙胜烟雾	公孙胜烟雾	0	1	0	0	0	boss_生死擂台公孙胜埋伏烟雾	-1		-1							5000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
134	小爆炸	小爆炸	4	0	0	1	1	npc燃烧弹-爆炸01	-1		-1							2000	500	5	5	12	0	0	0	0	0	效果1	8913	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
