INT	STRING	STRING
索引	标示	文本
1	ZUDUI	组队
2	SILIAO	私聊
3	TIAOZHAN	挑战
4	JIAOYI	交易
5	ENTER	进入
6	NPC_000_TEXT	NPC0的废话，**************
7	NPC_001_TEXT	NPC1的废话……，**************
8	M_0000_NAME	找人任务
9	M_0000_TEXT0	找人任务的接任务说明
10	M_0001_NAME	送货任务
11	M_0001_TEXT0	送货任务的接任务说明
12	M_0001_TEXT1	送货任务的交任务说明
13	M_0001_TEXT2	送货任务的交任务前任务需求的说明
14	M_MIAOSU	任务描述
15	M_0010_NAME	蜀道黑猿
16	M_0010_TEXT0	一堆费话……！（如黑猿如何如何凶猛之类，总之就是骗你去帮他杀几张黑猿的皮而以！），拿回它们的皮以证明你帮当地除掉过这些祸害！
17	M_0010_TEXT1	带回5张黑猿的皮，回来交给我！
18	M_0010_TEXT2	事情做得怎么样了？
19	M_0010_TEXT3	干得漂亮！
20	M_MUBIAO	#Y任务目标：
21	M_SHOUHUO	你将得到：
22	M_XUANZE	你可以选择你的奖励：
23	shangjin_01	你好，#{_PLAYERNAME}！{BR}欢迎你来到天龙八部的世界，我可以教你一些最基本的生活和冒险的知识，希望这些知识对你会有所帮助。#r
24	zhuxian_0101	我想你已经算得上是一个侠客了，不过距离真正的大侠还有差距。#r现在有一个良机摆在你面前，大理国镇南王段正淳现在有太多的事情需要处理，他已经不止一次派人来我这里寻找可靠而又能干的新手了，现在我发现你正是这样的人。#r好好干，做得好的话，他是不会亏待你的。#r
25	zhuxian_0102	找到段正淳并和他交谈#r
26	zhuxian_0103	你就是#{_PLAYERNAME}吧！我很欢迎你的到来。#r我这里的麻烦事非常多，非常需要人手。你看到我这副样子一定也会理解做一个亲王并不是什么容易的事情了。#r希望我们合作愉快。#r
27	huangmeiseng_01	我是黄眉僧#r
28	duanzhengming_01	我是段正明#r
29	equip_info_lv01	需求等级:
30	equip_info_lv02	无等级限制
31	equip_info_dur01	耐久度:
32	equip_info_dur02	永不磨损
33	equip_info_fix01	修理次数:
34	equip_info_band01	拾取绑定
35	equip_info_band02	装备绑定
36	equip_info_band03	已被绑定
37	equip_info_maker	制作者:
38	equip_base_attack_p	基础外功攻击
39	equip_base_attack_m	基础内功攻击
40	equip_base_defence_p	基础外功防御
41	equip_base_defence_m	基础内功防御
42	equip_base_miss	基础闪避
43	equip_attr_maxhp	血上限
44	equip_attr_restorehp	血回复速度
45	equip_attr_maxmp	气上限
46	equip_attr_restoremp	气回复速度
47	equip_attr_attack_cold	冰攻击
48	equip_attr_resist_cold	冰抗性
49	equip_attr_time_chihuan	迟缓持续时间
50	equip_attr_attack_fire	火攻击
51	equip_attr_resist_fire	火抗性
52	equip_attr_time_ruohua	弱化持续时间:
53	equip_attr_attack_light	玄攻击
54	equip_attr_resist_light	玄抗性
55	equip_attr_time_xuanyun	眩晕持续时间
56	equip_attr_attack_poison	毒攻击
57	equip_attr_resist_poison	毒抗性
58	equip_attr_time_zhongdu	中毒持续时间
59	equip_attr_resist_all	所有抗性
60	equip_attr_attack_p	外功攻击
61	equip_attr_attack_ep	武器基础外功攻击
62	equip_attr_attack_m	内功攻击
63	equip_attr_attack_em	武器基础内功攻击
64	equip_attr_defence_p	外功防御
65	equip_attr_defence_ep	防具基础外功防御
66	equip_attr_defence_m	内功防御
67	equip_attr_defence_em	防具基础内功防御
68	equip_attr_immunity_p	抵消外功伤害
69	equip_attr_immunity_m	抵消内功伤害
70	equip_attr_attackspeed	攻击速度
