int	int	int	string	string
int	int	int	string	string
30001001	1	150	立即恢复生命450点。	行血散
30001002	1	140	立即恢复生命964点。	活血散
30001003	1	130	立即恢复生命1478点。	金创药
30001004	1	120	立即恢复生命1992点。	鹿茸丹
30001005	1	110	立即恢复生命2506点。	参心丹
30001006	1	100	立即恢复生命3020点。	首乌丹
30001007	1	90	立即恢复生命3534点。	仙丹转生
30001008	1	80	立即恢复生命4048点。	仙丹麒麟
30001009	1	70	立即恢复生命4562点。	仙丹魂魄
30001010	1	60	立即恢复生命5076点。	仙丹往生
30001011	1	50	立即恢复生命2506点。	鸳鸯补血丹
30001012	1	40	立即恢复生命3020点。	龙凤还魂丹
30001013	1	30	立即恢复生命3534点。	冰参雪莲丸
30001014	1	20	立即恢复生命4048点。	九转通天丸
30001015	1	10	立即恢复生命4562点。	千锤百炼散
30002001	2	150	立即恢复气184点。	行气散
30002002	2	140	立即恢复气376点。	还灵丹
30002003	2	130	立即恢复气568点。	归灵丸
30002004	2	120	立即恢复气760点。	采香丸
30002005	2	110	立即恢复气952点。	甘露丹
30002006	2	100	立即恢复气1144点。	琼丹
30002007	2	90	立即恢复气1336点。	仙丹秋月
30002008	2	80	立即恢复气1528点。	仙丹神木
30002009	2	70	立即恢复气1720点。	仙丹金元
30002010	2	60	立即恢复气1912点。	仙丹神通
30002011	2	50	立即恢复气952点。	鸳鸯益气丹
30002012	2	40	立即恢复气1144点。	龙凤清魄丹
30002013	2	30	立即恢复气1336点。	金风玉露丸
30002014	2	20	立即恢复气1528点。	三星彻地丸
30002015	2	10	立即恢复气1720点。	天罡断续胶
30602004	3	40	立即恢复珍兽生命#G55332点#W。	后肘肉口粮
30603004	3	30	立即恢复珍兽生命#G55332点#W。	棕榈口粮
30604004	3	20	立即恢复珍兽生命#G55332点#W。	蝗虫口粮
30605004	3	10	立即恢复珍兽生命#G55332点#W。	花生口粮
30607000	3	70	立即恢复珍兽生命#G5000点#W。	珍兽滋补丹
30607001	3	50	立即恢复珍兽生命#G10000点#W。	珍兽回春丹
30607002	3	60	立即恢复珍兽生命#G5000点#W。	珍兽滋补丹
30607004	3	90	立即恢复珍兽#G5000点生命值#W且额外恢复珍兽#G5%#W的生命值。	超级珍兽滋补丹
30607005	3	80	立即恢复珍兽#G10000点生命值#W且额外恢复珍兽#G5%#W的生命值。	超级珍兽回春丹
31000000	1	190	立即恢复生命2500点。	金丹葫芦
31000001	1	160	立即恢复生命5000点。	仙丹葫芦
31000002	2	180	立即恢复气1000点。	玉液净瓶
31000003	2	170	立即恢复气2000点。	仙露净瓶
31000006	1	170	立即恢复生命1500点。	银丹葫芦
31000007	2	160	立即恢复气1000点。	玉液宝瓶
