int	int	int	int	int	int	int	int	int	string	int	int
int	int	int	int	int	int	int	int	int	string	int	int
0	160	480	0	1	0	0	0	0	伏虎拳	1	1
1	161	0	0	2	0	5	3	0	金刚伏魔圈	1	10
2	162	0	0	1	0	0	0	0	大力金刚掌	2	45
3	170	0	0	1	0	0	0	0	摩诃无量	4	1
4	174	0	0	1	0	0	0	0	一拍两散	5	1
5	187	483	1	1	0	0	0	0	催心掌	7	1
6	188	0	1	2	0	5	3	0	血战八方	7	10
7	189	0	1	1	0	0	0	0	炎龙无双	8	45
8	197	0	1	1	0	0	0	0	水淹七军	10	1
9	201	0	1	1	0	0	0	0	火烧赤壁	11	1
10	213	481	2	1	0	0	0	0	蟠龙击	13	1
11	214	0	2	2	0	5	3	0	千里横行	13	10
12	215	0	2	1	0	0	0	0	冲阵斩将	14	45
13	219	0	2	1	0	0	0	0	飞龙在天	15	10
14	223	0	2	1	0	0	0	0	青龙出水	16	1
15	227	0	2	1	0	0	0	0	震惊百里	17	1
16	236	0	2	2	0	5	3	0	天下无狗	57	1
17	234	0	2	1	0	0	0	0	棒打狗头	57	1
18	235	0	2	3	90	0	0	0	横扫乾坤	57	1
19	239	0	3	1	0	0	0	0	八卦掌	19	1
20	240	0	3	2	0	5	3	0	真武七截阵	19	20
21	241	0	3	1	0	0	0	0	两仪剑	20	45
22	242	0	3	2	5	5	3	0	三环套月	20	20
23	245	0	3	1	0	0	0	0	天马飞瀑	21	10
24	249	0	3	1	0	0	0	0	仙人指路	22	1
25	253	0	3	1	0	0	0	0	玉女穿梭	23	1
26	260	0	3	1	0	0	0	0	天外飞仙	58	1
27	262	0	3	2	7	7	5	0	七星聚首	58	1
28	265	0	4	1	0	0	0	0	貂蝉拜月	25	1
29	267	0	4	1	0	0	0	0	西子捧心	26	45
30	268	0	4	1	0	0	0	0	金顶绵掌	26	1
31	279	0	4	1	0	0	0	0	障眼法	29	1
32	287	0	4	1	0	0	0	0	九阴神爪	59	1
33	270	0	4	5	3	3	7	0	佛光普照	26	40
34	271	0	4	5	1	0	0	0	冲虚养气	27	20
35	286	0	4	5	2	0	0	0	清心普善咒	59	1
36	291	0	5	1	0	0	0	0	蓝砂手	31	1
37	292	0	5	2	0	5	3	0	连珠腐尸毒	31	10
38	293	0	5	1	0	0	0	0	幽冥神掌	32	45
39	297	0	5	1	0	0	0	0	笑里藏刀	33	20
40	301	0	5	1	0	0	0	0	青蛇毒掌	34	1
41	305	0	5	1	0	0	0	0	冰蚕毒掌	35	1
42	312	0	5	1	0	0	0	0	化骨绵掌	60	1
43	314	0	5	1	0	0	0	0	一日丧命散	60	1
44	317	0	6	1	0	0	0	0	正阳手	37	1
45	318	0	6	2	0	5	3	0	三阳开泰	37	10
46	319	0	6	1	0	0	0	0	一阳指	38	45
47	327	0	6	1	0	0	0	0	欲擒故纵	40	1
48	331	0	6	1	0	0	0	0	雪拥蓝关	41	1
49	338	0	6	1	0	0	0	0	少泽剑	61	1
50	339	0	6	1	0	0	0	0	商阳剑	61	1
51	343	482	7	1	0	0	0	0	雁南飞	43	1
52	344	0	7	2	0	5	3	0	鹰击长空	43	10
53	345	0	7	1	0	0	0	0	凤舞九天	44	45
54	350	0	7	3	108	0	0	0	移花接木	45	30
55	353	0	7	1	0	0	0	0	雪花六出	46	1
56	357	0	7	1	0	0	0	0	梅花三弄	47	1
57	359	0	7	1	0	0	0	0	寒梅怒放	47	50
58	365	0	7	1	0	0	0	0	同生共死	62	1
59	370	0	8	1	0	0	0	0	落英剑	49	1
60	372	0	8	1	0	0	0	0	弹指神功	50	45
61	382	0	8	1	0	0	0	0	潇湘夜雨	52	50
62	384	0	8	1	0	0	0	0	溪山行旅	53	1
63	391	0	8	1	0	0	0	0	鲲跃北溟	63	1
64	392	0	8	2	0	15	3	0	定海神针	63	1
65	393	0	8	3	120	0	0	0	步步生花	63	1
66	696	0	-1	7	50	0	0	0	血祭	-1	-1
67	697	0	-1	7	50	1	0	0	高级血祭	-1	-1
68	686	0	-1	6	50	0	0	0	共生	-1	-1
69	687	0	-1	6	50	1	0	0	高级共生	-1	-1
70	396	0	10	1	0	0	0	0	余音袅袅	64	1
71	397	0	10	1	0	0	0	0	寒江雪	64	10
72	399	0	10	1	0	0	0	0	碣石调	64	45
73	405	0	10	1	0	0	0	0	凉风有信	66	40
74	407	0	10	1	0	0	0	0	长相思	67	1
75	411	0	10	1	0	0	0	0	如梦令	68	1
76	418	0	10	1	0	0	0	0	弦弄花影	70	1
