INT	INT	STRING
Lelvel	所需经验	说明
1	100	当前vip加成xxxxx
2	200	当前vip加成xxxxx
3	300	当前vip加成xxxxx
4	400	当前vip加成xxxxx
5	500	当前vip加成xxxxx
6	600	当前vip加成xxxxx
7	700	当前vip加成xxxxx
8	800	当前vip加成xxxxx
9	900	当前vip加成xxxxx
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
50401001	5	4
50401002	5	4
50402001	5	4
50402002	5	4
50402003	5	4
50402004	5	4
50402005	5	4
50402006	5	4
50402007	5	4
50402008	5	4
50403001	5	4
50404002	5	4
50411001	5	4
50411002	5	4
50412001	5	4
50412002	5	4
50412003	5	4
50412004	5	4
50412005	5	4
50412006	5	4
50412007	5	4
50412008	5	4
50413001	5	4
50413002	5	4
50413003	5	4
50413004	5	4
50413005	5	4
50413006	5	4
50414001	5	4
50421001	5	4
50421002	5	4
50421003	5	4
50421004	5	4
50421101	5	4
50421102	5	4
50421103	5	4
50421104	5	4
50421201	5	4
50421202	5	4
50421203	5	4
50421204	5	4
50421301	5	4
50421302	5	4
50421303	5	4
50421304	5	4
50421401	5	4
50421402	5	4
50421403	5	4
50421404	5	4
		
50431001	5	4
50431002	5	4
50431003	5	4
50431004	5	4
50431005	5	4
50432001	5	4
50432002	5	4
50432003	5	4
50432004	5	4
50432005	5	4
50433001	5	4
50433002	5	4
50433003	5	4
50433004	5	4
50433005	5	4
50501001	5	5
50501002	5	5
50502001	5	5
50502002	5	5
50502003	5	5
50502004	5	5
50502005	5	5
50502006	5	5
50502007	5	5
50502008	5	5
50503001	5	5
50504002	5	5
50511001	5	5
50511002	5	5
50512001	5	5
50512002	5	5
50512003	5	5
50512004	5	5
50512005	5	5
50512006	5	5
50512007	5	5
50512008	5	5
50513001	5	5
50513002	5	5
50513003	5	5
50513004	5	5
50513005	5	5
50513006	5	5
50514001	5	5
50521001	5	5
50521002	5	5
50521003	5	5
50521004	5	5
50521101	5	5
50521102	5	5
50521103	5	5
50521104	5	5
50521105	5	5
50521201	5	5
50521202	5	5
50521203	5	5
50521204	5	5
50521205	5	5
50521301	5	5
50521302	5	5
50521303	5	5
50521304	5	5
50521305	5	5
50521401	5	5
50521402	5	5
50521403	5	5
50521404	5	5
50521405	5	5
		
50601001	5	6
50601002	5	6
50602001	5	6
50602002	5	6
50602003	5	6
50602004	5	6
50602005	5	6
50602006	5	6
50602007	5	6
50602008	5	6
50603001	5	6
50604002	5	6
50611001	5	6
50611002	5	6
50612001	5	6
50612002	5	6
50612003	5	6
50612004	5	6
50612005	5	6
50612006	5	6
50612007	5	6
50612008	5	6
50613001	5	6
50613002	5	6
50613003	5	6
50613004	5	6
50613005	5	6
50613006	5	6
50614001	5	6
50621001	5	6
50621002	5	6
50621003	5	6
50621004	5	6
50621101	5	6
50621102	5	6
50621103	5	6
50621104	5	6
50621105	5	6
50621106	5	6
50621201	5	6
50621202	5	6
50621203	5	6
50621204	5	6
50621205	5	6
50621206	5	6
50621301	5	6
50621302	5	6
50621303	5	6
50621304	5	6
50621305	5	6
50621306	5	6
50621401	5	6
50621402	5	6
50621403	5	6
50621404	5	6
50621405	5	6
